,Year,PADK,CYAZ
0,1950,74.16666666666667,
1,1951,80.0,
2,1952,73.72881355932203,
3,1953,76.47058823529412,
4,1954,75.21367521367522,
5,1955,83.33333333333333,
6,1956,78.44827586206897,
7,1957,66.94915254237289,
8,1958,65.2542372881356,
9,1959,85.0,
10,1960,86.20689655172414,51.239669421487605
11,1961,80.0,35.77235772357724
12,1962,65.48672566371681,62.5
13,1963,90.75630252100841,61.86440677966102
14,1964,84.48275862068965,40.49586776859504
15,1965,88.23529411764706,52.54237288135593
16,1966,87.39495798319328,35.65217391304348
17,1967,72.64957264957265,40.17857142857143
18,1968,73.21428571428571,48.78048780487805
19,1969,64.34782608695652,36.666666666666664
20,1970,56.666666666666664,49.13793103448276
21,1971,73.33333333333333,44.14414414414414
22,1972,94.16666666666667,30.275229357798164
23,1973,69.74789915966386,49.57983193277311
24,1974,60.68376068376068,52.136752136752136
25,1975,71.66666666666667,70.96774193548387
26,1976,80.83333333333333,65.17857142857143
27,1977,67.52136752136752,46.08695652173913
28,1978,74.78260869565217,55.96330275229358
29,1979,86.66666666666667,55.55555555555556
30,1980,78.99159663865547,55.65217391304348
31,1981,73.72881355932203,53.44827586206897
32,1982,71.42857142857143,36.69724770642202
33,1983,66.66666666666667,28.72340425531915
34,1984,76.66666666666667,41.97530864197531
35,1985,68.96551724137932,33.00970873786408
36,1986,76.52173913043478,41.23711340206186
37,1987,75.65217391304348,36.79245283018868
38,1988,79.16666666666667,41.12149532710281
39,1989,90.0,51.92307692307692
40,1990,65.83333333333333,42.34234234234234
41,1991,85.71428571428571,63.47826086956522
42,1992,78.76106194690266,51.785714285714285
43,1993,80.0,48.148148148148145
44,1994,71.42857142857143,36.27450980392157
45,1995,83.78378378378379,31.683168316831683
46,1996,,50.0
47,1997,,34.42622950819672
48,1998,,25.0
49,1999,,47.93388429752066
50,2000,,55.37190082644628
51,2001,,56.91056910569106
52,2002,,43.08943089430894
53,2003,,32.71028037383178
54,2004,,63.63636363636363
55,2005,71.1864406779661,57.377049180327866
56,2006,64.16666666666667,41.935483870967744
57,2007,64.95726495726495,44.62809917355372
58,2008,52.87356321839081,58.064516129032256
59,2009,59.45945945945946,62.096774193548384
60,2010,68.90756302521008,53.65853658536585
61,2011,40.0,56.91056910569106
62,2012,43.529411764705884,34.67741935483871
63,2013,50.0,63.333333333333336
64,2014,57.142857142857146,40.833333333333336
65,2015,44.166666666666664,36.0655737704918
66,2016,58.333333333333336,41.46341463414634
67,2017,49.31506849315068,44.53781512605042
68,2018,69.23076923076923,56.779661016949156
69,2019,59.32203389830509,40.65040650406504
70,2020,49.166666666666664,44.26229508196721
71,2021,,43.54838709677419
72,2022,57.26495726495727,47.540983606557376
