,Year,PADK,CYAZ
0,1950,74.16666666666667,
1,1951,80.0,
2,1952,73.72881355932203,
3,1953,76.47058823529412,
4,1954,75.21367521367522,
5,1955,83.33333333333333,
6,1956,78.44827586206897,
7,1957,66.94915254237289,
8,1958,65.2542372881356,
9,1959,85.0,
10,1960,86.20689655172414,23.140495867768596
11,1961,80.0,52.5
12,1962,65.48672566371681,43.69747899159664
13,1963,90.75630252100841,51.69491525423729
14,1964,84.48275862068965,63.24786324786325
15,1965,88.23529411764706,44.71544715447155
16,1966,87.39495798319328,60.16260162601626
17,1967,72.64957264957265,43.80165289256198
18,1968,73.21428571428571,35.3448275862069
19,1969,64.34782608695652,36.206896551724135
20,1970,56.666666666666664,50.42016806722689
21,1971,73.33333333333333,41.73913043478261
22,1972,94.16666666666667,38.01652892561984
23,1973,69.74789915966386,40.833333333333336
24,1974,60.68376068376068,40.0
25,1975,71.66666666666667,47.58064516129032
26,1976,80.83333333333333,38.793103448275865
27,1977,67.52136752136752,46.55172413793103
28,1978,74.78260869565217,47.82608695652174
29,1979,86.66666666666667,48.30508474576271
30,1980,78.99159663865547,51.32743362831859
31,1981,73.72881355932203,42.98245614035088
32,1982,71.42857142857143,40.0
33,1983,66.66666666666667,39.80582524271845
34,1984,76.66666666666667,36.58536585365854
35,1985,68.96551724137932,32.69230769230769
36,1986,76.52173913043478,50.925925925925924
37,1987,75.65217391304348,33.68421052631579
38,1988,79.16666666666667,38.94736842105263
39,1989,90.0,41.07142857142857
40,1990,65.83333333333333,32.38095238095238
41,1991,85.71428571428571,53.04347826086956
42,1992,78.76106194690266,38.392857142857146
43,1993,80.0,58.97435897435897
44,1994,71.42857142857143,40.70796460176991
45,1995,83.78378378378379,34.234234234234236
46,1996,,41.0958904109589
47,1997,,29.26829268292683
48,1998,,55.46218487394958
49,1999,,42.97520661157025
50,2000,,41.666666666666664
51,2001,,43.08943089430894
52,2002,,36.97478991596638
53,2003,,43.10344827586207
54,2004,,42.14876033057851
55,2005,71.1864406779661,47.96747967479675
56,2006,64.16666666666667,39.516129032258064
57,2007,64.95726495726495,48.38709677419355
58,2008,52.87356321839081,61.29032258064516
59,2009,59.45945945945946,42.74193548387097
60,2010,68.90756302521008,44.354838709677416
61,2011,40.0,45.52845528455285
62,2012,43.529411764705884,66.12903225806451
63,2013,50.0,51.61290322580645
64,2014,57.142857142857146,37.81512605042017
65,2015,44.166666666666664,39.516129032258064
66,2016,58.333333333333336,49.193548387096776
67,2017,49.31506849315068,26.446280991735538
68,2018,69.23076923076923,38.52459016393443
69,2019,59.32203389830509,43.54838709677419
70,2020,49.166666666666664,33.87096774193548
71,2021,,46.774193548387096
72,2022,57.26495726495727,49.59349593495935
