,Year,PADK,CYAZ,KACV
0,1950,74.16666666666667,,63.333333333333336
1,1951,80.0,,56.36363636363637
2,1952,73.72881355932203,,46.55172413793103
3,1953,76.47058823529412,,23.68421052631579
4,1954,75.21367521367522,,37.16814159292036
5,1955,83.33333333333333,,50.450450450450454
6,1956,78.44827586206897,,28.07017543859649
7,1957,66.94915254237289,,37.61467889908257
8,1958,65.2542372881356,,45.714285714285715
9,1959,85.0,,45.09803921568628
10,1960,86.20689655172414,35.59322033898305,52.293577981651374
11,1961,80.0,35.96491228070175,52.252252252252255
12,1962,65.48672566371681,34.48275862068966,47.05882352941177
13,1963,90.75630252100841,37.5,39.62264150943396
14,1964,84.48275862068965,51.30434782608695,49.51456310679612
15,1965,88.23529411764706,53.153153153153156,53.91304347826087
16,1966,87.39495798319328,53.211009174311926,23.46938775510204
17,1967,72.64957264957265,46.902654867256636,69.56521739130434
18,1968,73.21428571428571,44.554455445544555,47.61904761904762
19,1969,64.34782608695652,42.608695652173914,69.74789915966386
20,1970,56.666666666666664,30.97345132743363,61.607142857142854
21,1971,73.33333333333333,28.440366972477065,55.96330275229358
22,1972,94.16666666666667,44.54545454545455,61.73913043478261
23,1973,69.74789915966386,39.83050847457627,42.857142857142854
24,1974,60.68376068376068,25.925925925925927,59.130434782608695
25,1975,71.66666666666667,31.35593220338983,38.793103448275865
26,1976,80.83333333333333,45.04504504504504,40.869565217391305
27,1977,67.52136752136752,33.92857142857143,64.91228070175438
28,1978,74.78260869565217,47.78761061946903,54.3859649122807
29,1979,86.66666666666667,41.34615384615385,39.823008849557525
30,1980,78.99159663865547,66.66666666666667,40.70796460176991
31,1981,73.72881355932203,45.714285714285715,33.0188679245283
32,1982,71.42857142857143,39.175257731958766,68.0672268907563
33,1983,66.66666666666667,30.303030303030305,33.333333333333336
34,1984,76.66666666666667,36.76470588235294,45.689655172413794
35,1985,68.96551724137932,34.04255319148936,46.017699115044245
36,1986,76.52173913043478,38.83495145631068,53.398058252427184
37,1987,75.65217391304348,47.252747252747255,66.66666666666667
38,1988,79.16666666666667,41.0,49.074074074074076
39,1989,90.0,19.81132075471698,50.925925925925924
40,1990,65.83333333333333,43.39622641509434,39.823008849557525
41,1991,85.71428571428571,23.958333333333332,45.689655172413794
42,1992,78.76106194690266,33.333333333333336,44.34782608695652
43,1993,80.0,49.532710280373834,30.97345132743363
44,1994,71.42857142857143,52.94117647058823,32.743362831858406
45,1995,83.78378378378379,37.61467889908257,49.572649572649574
46,1996,,32.758620689655174,43.11926605504587
47,1997,,23.47826086956522,19.166666666666668
48,1998,,33.333333333333336,60.0
49,1999,,23.333333333333332,43.333333333333336
50,2000,,47.5,27.5
51,2001,,30.833333333333332,29.166666666666668
52,2002,,29.661016949152543,47.36842105263158
53,2003,,39.42307692307692,42.98245614035088
54,2004,,46.08695652173913,42.98245614035088
55,2005,71.1864406779661,42.5,42.5
56,2006,64.16666666666667,30.833333333333332,48.333333333333336
57,2007,64.95726495726495,50.0,34.45378151260504
58,2008,52.87356321839081,39.49579831932773,38.333333333333336
59,2009,59.45945945945946,47.5,47.5
60,2010,68.90756302521008,60.833333333333336,49.166666666666664
61,2011,40.0,43.333333333333336,41.1764705882353
62,2012,43.529411764705884,32.5,34.166666666666664
63,2013,50.0,47.89915966386555,42.5
64,2014,57.142857142857146,47.89915966386555,31.092436974789916
65,2015,44.166666666666664,42.016806722689076,62.5
66,2016,58.333333333333336,51.69491525423729,34.166666666666664
67,2017,49.31506849315068,28.333333333333332,45.0
68,2018,69.23076923076923,41.28440366972477,39.166666666666664
69,2019,59.32203389830509,37.28813559322034,35.0
70,2020,49.166666666666664,51.30434782608695,27.5
71,2021,,45.0,53.333333333333336
72,2022,57.26495726495727,36.97478991596638,39.166666666666664
