,Year,PADK,CYAZ,KACV
0,1950,74.16666666666667,,34.146341463414636
1,1951,80.0,,34.959349593495936
2,1952,73.72881355932203,,39.31623931623932
3,1953,76.47058823529412,,32.432432432432435
4,1954,75.21367521367522,,41.81818181818182
5,1955,83.33333333333333,,25.43859649122807
6,1956,78.44827586206897,,49.152542372881356
7,1957,66.94915254237289,,38.333333333333336
8,1958,65.2542372881356,,55.357142857142854
9,1959,85.0,,32.72727272727273
10,1960,86.20689655172414,35.59322033898305,40.38461538461539
11,1961,80.0,35.96491228070175,42.99065420560748
12,1962,65.48672566371681,34.48275862068966,30.63063063063063
13,1963,90.75630252100841,37.5,63.96396396396396
14,1964,84.48275862068965,51.30434782608695,45.45454545454545
15,1965,88.23529411764706,53.153153153153156,37.96296296296296
16,1966,87.39495798319328,53.211009174311926,50.0
17,1967,72.64957264957265,46.902654867256636,41.88034188034188
18,1968,73.21428571428571,44.554455445544555,44.54545454545455
19,1969,64.34782608695652,42.608695652173914,56.52173913043478
20,1970,56.666666666666664,30.97345132743363,35.8974358974359
21,1971,73.33333333333333,28.440366972477065,51.282051282051285
22,1972,94.16666666666667,44.54545454545455,65.2542372881356
23,1973,69.74789915966386,39.83050847457627,55.357142857142854
24,1974,60.68376068376068,25.925925925925927,25.663716814159294
25,1975,71.66666666666667,31.35593220338983,34.45378151260504
26,1976,80.83333333333333,45.04504504504504,27.5
27,1977,67.52136752136752,33.92857142857143,24.074074074074073
28,1978,74.78260869565217,47.78761061946903,22.321428571428573
29,1979,86.66666666666667,41.34615384615385,45.535714285714285
30,1980,78.99159663865547,66.66666666666667,50.0
31,1981,73.72881355932203,45.714285714285715,32.432432432432435
32,1982,71.42857142857143,39.175257731958766,35.18518518518518
33,1983,66.66666666666667,30.303030303030305,55.0
34,1984,76.66666666666667,36.76470588235294,29.896907216494846
35,1985,68.96551724137932,34.04255319148936,32.45614035087719
36,1986,76.52173913043478,38.83495145631068,43.80952380952381
37,1987,75.65217391304348,47.252747252747255,42.241379310344826
38,1988,79.16666666666667,41.0,25.925925925925927
39,1989,90.0,19.81132075471698,38.26086956521739
40,1990,65.83333333333333,43.39622641509434,32.5
41,1991,85.71428571428571,23.958333333333332,36.36363636363637
42,1992,78.76106194690266,33.333333333333336,45.370370370370374
43,1993,80.0,49.532710280373834,32.773109243697476
44,1994,71.42857142857143,52.94117647058823,44.62809917355372
45,1995,83.78378378378379,37.61467889908257,51.32743362831859
46,1996,,32.758620689655174,26.605504587155963
47,1997,,23.47826086956522,24.193548387096776
48,1998,,33.333333333333336,28.225806451612904
49,1999,,23.333333333333332,41.12903225806452
50,2000,,47.5,33.064516129032256
51,2001,,30.833333333333332,28.225806451612904
52,2002,,29.661016949152543,36.0655737704918
53,2003,,39.42307692307692,26.16822429906542
54,2004,,46.08695652173913,28.925619834710744
55,2005,71.1864406779661,42.5,27.419354838709676
56,2006,64.16666666666667,30.833333333333332,24.193548387096776
57,2007,64.95726495726495,50.0,38.70967741935484
58,2008,52.87356321839081,39.49579831932773,40.32258064516129
59,2009,59.45945945945946,47.5,57.25806451612903
60,2010,68.90756302521008,60.833333333333336,31.451612903225808
61,2011,40.0,43.333333333333336,26.612903225806452
62,2012,43.529411764705884,32.5,33.064516129032256
63,2013,50.0,47.89915966386555,37.096774193548384
64,2014,57.142857142857146,47.89915966386555,29.032258064516128
65,2015,44.166666666666664,42.016806722689076,61.29032258064516
66,2016,58.333333333333336,51.69491525423729,48.38709677419355
67,2017,49.31506849315068,28.333333333333332,42.74193548387097
68,2018,69.23076923076923,41.28440366972477,60.483870967741936
69,2019,59.32203389830509,37.28813559322034,59.67741935483871
70,2020,49.166666666666664,51.30434782608695,33.87096774193548
71,2021,,45.0,47.58064516129032
72,2022,57.26495726495727,36.97478991596638,37.096774193548384
