	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.10590772053147506	-0.3067922100501024	0.014460481958006364	0.15729494115062623
1	CYAZ	-0.012868361267536979	-0.02268103889321173	0.8599460677138266	-0.23883465875097085
2	KACV	-0.026314368411528843	-0.054249095425929005	0.648504745733066	-0.27787271463895713
3	PAHO	-0.09551391149069083	-0.2855461328415062	0.014332631400522449	0.045009246111475644
4	KLGB	-0.1194519342563528	-0.3722539935025514	0.001182606143362748	-0.035379627506218154
5	KNUC	-0.0272208359253548	-0.042432867902832426	0.7561682037922722	-0.16452842711831897
6	KNTD	-0.14282055934492946	-0.2567192870138059	0.028347857280945406	-0.2547282332264764
7	KNZY	-0.11767732675012775	-0.2910966737077849	0.012469606685170494	-0.04372754424567196
8	PACD	-0.2849017335927795	-0.5271129534721141	4.59028705165294e-06	-0.11736585891889788
9	PANT	-0.13587609986525742	-0.25887932511975875	0.0439498213613295	-0.30499607082405833
10	KMRY	-0.008887629109737883	-0.022222062434567303	0.8530069033427525	-0.37819674651982166
11	KLAX	-0.15938846879776186	-0.42175619217327215	0.00020219701493836602	-0.16814915992792054
12	KAST	-0.011799352459904917	-0.02560348702028574	0.8297549846996147	-0.1982945991583584
13	KSAN	-0.034299446839814826	-0.09445624557128868	0.42997908381361116	-0.008112610733723054
14	KNSI	-0.10061499253308075	-0.21054706516970106	0.13020964006482183	-0.19527029375627059
15	KSFO	-0.004631305970614623	-0.013591310094818452	0.9091385730936123	0.05965403931936231
16	KSIT	-0.2322517677628384	-0.3914472229440349	0.0015117038482722765	-0.14347546771040068
17	PYAK	-0.14462220336883105	-0.24576402926095683	0.03609752896413241	-0.25301416297306994
18	KOAK	0.06493023681883471	0.1951096879140681	0.0980899222724739	-0.007926840265873984
19	KOTH	0.01675316002980198	0.03552954887352748	0.7719459803130846	-0.08593312352525745
20	PADQ	-0.2179933222791482	-0.3682956491260458	0.001346419266250903	-0.1432800824444983
21	KVBG	0.0030783892748614326	0.006511655032473838	0.9592720959891626	-0.1931620328345849
