	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.35475416924622594	-0.6172245936316689	7.141069066977912e-08	0.27737509791205217
1	CYAZ	0.02296005346545234	0.04496061410136448	0.7264177629921349	-0.011878194524632391
2	KACV	-0.10088192930505993	-0.16599124565384124	0.16046506329543742	-0.14734745638310995
3	PAHO	-0.11781230745006235	-0.36029099398202047	0.001741705544768213	0.2776189576443952
4	KLGB	-0.16837883440585907	-0.41599959760738625	0.0002518790180793742	-0.175994269735944
5	KNUC	-0.19060319601945083	-0.23411090126173378	0.08245145951652305	-0.22458954919853666
6	KNTD	-0.18408320139952253	-0.28248242172685295	0.015460375336793557	-0.20045895172142406
7	KNZY	-0.14835116165046697	-0.30337618923258436	0.00907778247372258	-0.11465408006710634
8	PACD	-0.40803648863982445	-0.5683927949874206	5.237791707022158e-07	0.04684527469011896
9	PANT	-0.1610735920840149	-0.3526355606700351	0.005314203836758315	-0.007016754396933962
10	KMRY	-0.0738743981644248	-0.14651709546655267	0.21940166811892692	-0.23427573072800248
11	KLAX	-0.15961688281737874	-0.28677596144988776	0.013900323728765322	-0.23038600412308555
12	KAST	-0.0195110464029539	-0.04367893821474976	0.7136734876230156	-0.09868817968491078
13	KSAN	-0.10520137135312531	-0.23639487947733565	0.04558626956786978	-0.15783603369030458
14	KNSI	-0.19060672484137467	-0.32642218266984596	0.017057317526540983	-0.27955795849637416
15	KSFO	-0.021346491175317433	-0.06422791424103322	0.5893005463869864	-0.01710241588749625
16	KSIT	-0.19289387967283883	-0.3415819782198378	0.006146389127827678	0.12407276820345203
17	PYAK	-0.35393929578017713	-0.4949958446457387	8.513744274409196e-06	0.03753976219631458
18	KOAK	-0.028325114726792822	-0.07157931722738228	0.5473132481660468	-0.03863845727975906
19	KOTH	-0.07637838431352106	-0.16332328054387954	0.17995171743215646	0.059759158215519234
20	PADQ	-0.31732793906959444	-0.49280247014280465	9.463429047540552e-06	0.06174337667492981
21	KVBG	-0.09325493243921988	-0.13226622492392048	0.2974762121419532	-0.2331787068753969
