	Years	KSMX	KEDW	KRBL	KSMO	KFUL	KLAX	PADK	PADQ	PANT	KNZY	KSNA	KLGB	KOXR	KVBG	KNUQ	KSFO	KOAK	KRIV	KAPC	KNJK	KAST	KSBA	KOTH	KSUU	KSNS	KLAS	KNUC	KRDD	KACV	KHHR	KTOA	KLVK	KSAN	KAVX	CYAZ	KMYF	KUKI	KCRQ	KMRY	KFHR	KSEE	KCEC	KSIT	PAHO	KNFG	KPSP	KNSI	KNRS	KSJC	KUIL	KFAT	KNTD	KBUR	PYAK	PACD	KNKX	KVNY
0	1950	N/A	0.0	N/A	N/A	N/A	38.23529411764706	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	18.137254901960784	20.26143790849673	26.143790849673206	11.601307189542483	N/A	N/A	42.20032840722496	38.56209150326798	31.862745098039213	N/A	34.47712418300654	N/A	N/A	N/A	51.31147540983606	N/A	N/A	N/A	42.64705882352941	30.960264900662253	N/A	N/A	N/A	N/A	41.734860883797054	N/A	N/A	44.93464052287582	27.124183006535947	13.584288052373159	N/A	N/A	57.31922398589065	N/A	N/A	N/A	0.16366612111292964	50.90909090909091	N/A	58.98692810457516	N/A	N/A	N/A
1	1951	N/A	0.0	N/A	N/A	N/A	30.065359477124183	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	25.163398692810457	29.411764705882355	33.82352941176471	9.819967266775777	N/A	N/A	51.174496644295296	28.921568627450984	37.41830065359477	N/A	41.830065359477125	N/A	N/A	N/A	58.496732026143796	N/A	N/A	N/A	33.49673202614379	23.432343234323433	N/A	N/A	N/A	N/A	55.810147299509005	N/A	N/A	52.373158756137485	44.51718494271686	9.165302782324058	N/A	N/A	56.305506216696266	N/A	N/A	N/A	0.0	41.31147540983607	N/A	64.65517241379311	N/A	N/A	N/A
2	1952	N/A	0.16339869281045752	N/A	N/A	N/A	27.124183006535947	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	19.11764705882353	20.098039215686274	25.163398692810457	5.718954248366013	N/A	N/A	45.0261780104712	23.856209150326798	35.51554828150573	N/A	28.594771241830063	N/A	N/A	N/A	51.633986928104584	N/A	N/A	N/A	25.779967159277504	14.827018121911037	N/A	N/A	N/A	N/A	37.15220949263502	N/A	N/A	45.751633986928105	42.88052373158756	11.928104575163399	N/A	N/A	35.628227194492254	37.434094903339194	19.015280135823428	N/A	0.16339869281045752	37.41830065359477	N/A	59.80392156862745	N/A	N/A	N/A
3	1953	N/A	0.32679738562091504	N/A	N/A	N/A	26.797385620915033	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	17.81045751633987	22.712418300653596	21.568627450980394	5.88235294117647	N/A	N/A	39.21568627450981	17.83960720130933	30.88235294117647	N/A	29.901960784313726	N/A	N/A	N/A	43.13725490196079	N/A	N/A	N/A	27.450980392156865	N/A	N/A	N/A	N/A	N/A	37.745098039215684	N/A	N/A	37.315875613747956	42.15686274509804	11.601307189542483	N/A	N/A	32.401315789473685	37.732342007434944	N/A	N/A	0.6535947712418301	30.88235294117647	N/A	55.810147299509005	N/A	N/A	N/A
4	1954	N/A	0.0	N/A	N/A	N/A	34.20621931260229	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15.032679738562091	18.954248366013072	22.22222222222222	10.784313725490197	N/A	N/A	35.947712418300654	31.209150326797385	31.795716639209225	N/A	26.143790849673206	N/A	N/A	N/A	43.30065359477124	N/A	N/A	N/A	38.0718954248366	N/A	N/A	N/A	N/A	N/A	32.6797385620915	N/A	N/A	38.72549019607843	38.39869281045752	13.23529411764706	N/A	N/A	37.868852459016395	N/A	N/A	N/A	0.6535947712418301	42.15686274509804	N/A	48.8562091503268	N/A	N/A	N/A
5	1955	28.431372549019606	0.32733224222585927	N/A	N/A	N/A	31.5359477124183	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15.849673202614378	18.627450980392158	23.03921568627451	11.76470588235294	N/A	N/A	42.15686274509804	N/A	35.62091503267974	N/A	32.51633986928105	N/A	N/A	N/A	47.22222222222222	N/A	N/A	N/A	32.02614379084967	N/A	N/A	N/A	N/A	N/A	41.17647058823529	N/A	N/A	N/A	35.62091503267974	19.934640522875817	N/A	N/A	N/A	N/A	N/A	N/A	0.32679738562091504	38.88888888888889	N/A	65.63011456628477	N/A	N/A	N/A
6	1956	24.673202614379086	0.0	N/A	N/A	N/A	25.98039215686275	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	16.666666666666664	20.751633986928105	23.366013071895424	11.601307189542483	N/A	N/A	40.68627450980392	N/A	34.64052287581699	N/A	32.6797385620915	N/A	N/A	N/A	45.91503267973856	N/A	N/A	N/A	26.307189542483663	N/A	N/A	N/A	N/A	N/A	39.21568627450981	N/A	N/A	N/A	45.588235294117645	21.73202614379085	N/A	N/A	N/A	30.065359477124183	N/A	N/A	0.49019607843137253	37.745098039215684	N/A	55.06535947712419	80.31358885017421	N/A	N/A
7	1957	22.22222222222222	0.16339869281045752	N/A	N/A	N/A	21.568627450980394	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	14.052287581699346	19.77124183006536	23.366013071895424	10.638297872340425	N/A	N/A	31.372549019607842	19.607843137254903	26.797385620915033	N/A	29.901960784313726	N/A	N/A	N/A	43.13725490196079	N/A	N/A	N/A	26.797385620915033	N/A	N/A	N/A	N/A	N/A	31.795716639209225	N/A	N/A	N/A	40.032679738562095	13.88888888888889	N/A	N/A	N/A	33.49673202614379	N/A	N/A	1.9607843137254901	23.856209150326798	N/A	47.05882352941176	69.10714285714286	N/A	N/A
8	1958	26.307189542483663	0.0	N/A	N/A	N/A	26.02291325695581	N/A	N/A	N/A	N/A	N/A	N/A	N/A	39.8989898989899	22.712418300653596	22.058823529411764	28.75816993464052	7.6797385620915035	N/A	N/A	42.810457516339866	24.673202614379086	29.901960784313726	N/A	30.22875816993464	N/A	N/A	N/A	49.42716857610475	N/A	N/A	N/A	26.96078431372549	N/A	N/A	N/A	N/A	N/A	37.213114754098356	N/A	N/A	N/A	37.091503267973856	12.418300653594772	N/A	N/A	36.49754500818331	35.62091503267974	N/A	N/A	0.9803921568627451	33.66013071895425	N/A	62.745098039215684	72.54901960784314	N/A	N/A
9	1959	23.52941176470588	0.0	N/A	N/A	N/A	24.509803921568626	N/A	N/A	N/A	N/A	N/A	N/A	N/A	41.33986928104575	11.928104575163399	16.830065359477125	19.28104575163399	15.686274509803921	N/A	N/A	38.56209150326798	25.326797385620914	32.35294117647059	N/A	25.163398692810457	N/A	N/A	N/A	40.98360655737705	N/A	N/A	N/A	30.065359477124183	N/A	N/A	N/A	N/A	N/A	30.392156862745097	N/A	N/A	N/A	32.02614379084967	13.725490196078432	N/A	N/A	38.205980066445186	36.76470588235294	N/A	N/A	0.16339869281045752	30.718954248366014	N/A	50.81699346405229	68.79084967320262	N/A	N/A
