,Year,PADK,CYAZ,KACV,PAHO,KLGB,KNUC,KNTD,KNZY,PACD,PANT,KMRY,KLAX,KAST,KSAN,KNSI,KSFO,KSIT,PYAK,KOAK,KOTH,PADQ,KVBG
0,1991,89.63764527667999,48.478420391750454,55.241143938269545,13.990283348669172,30.137281004112488,,55.40251080491455,44.855626715964,70.6110832503157,29.41557846900348,43.340290799633934,37.05232369481435,46.341157152516175,42.603515370364796,52.26894511216724,29.65105018782328,55.00090424189339,62.88141018421827,39.677263174155364,60.74870844910981,47.491371139406795,59.744964374981464
1,1992,86.83893973939091,36.90160087437315,50.86952533838053,6.554446346282812,21.042977275264022,,38.23723924046632,32.72564576179012,50.008380860703134,28.901713008739687,39.38412550481516,25.708308311690644,35.48848548275392,31.098586340071915,39.7644909602615,20.156161863096255,44.47618949159351,49.88707914947223,29.92926284758687,,37.339866406156126,49.178197901992164
2,1993,89.1590605411448,51.96065312259814,42.94876566613879,7.956486791045063,28.8761822633384,,38.8508583533919,36.87085722986347,56.06175001167297,21.796577605401133,32.968515742128936,25.713339032206658,45.07991647861871,35.038071462006556,38.22490446863551,18.436742797530272,32.71722665335593,38.297589352962596,24.59903761255428,49.17629514064149,39.70073153882551,44.52219920262246
3,1994,80.62276612276612,38.88877057929635,40.06372329539137,7.854400638508585,23.815810140786034,55.34347384047535,31.634750896192543,38.909372672050154,61.89285173623698,28.71207828485994,39.2882575677438,24.943829222558414,33.026178751230155,35.375099904220505,,18.441879913744998,37.726879348418684,41.77695127782796,25.92686889360947,40.30511206830442,43.57943919370882,46.150509514928935
4,1995,94.91776157600222,35.25558141062339,47.082229972562175,10.904408501536022,21.53769962261383,57.40637454051405,39.33216649288444,35.65944297447639,66.34040996414302,26.209013315531813,34.89535982227157,25.95256139415236,34.66129032258064,31.358498895283304,,21.609887254347438,42.305502494861386,53.19240393887335,29.22802660827254,,52.65216029664149,42.57004179910809
5,1996,,36.128045077265675,40.455706816612405,10.000731880303617,19.409895135145412,60.21126760563381,38.47854482949199,30.640970140970143,58.96055601801097,31.191901078049085,37.15946810815418,20.286094009146723,29.403225806451616,,,17.554638061429234,33.91050447021902,36.41625354681331,29.398960321024664,,30.014159480464173,45.22404520719063
6,1997,,33.18778473265425,29.688578657269357,11.582497515135087,20.553763440860216,48.31626506024096,28.32905382158563,34.57909699556593,62.413978494623656,32.771833202202984,23.97752175963594,22.866043191470133,28.080645161290317,29.549554810024205,,13.198924731182796,25.03770953856312,37.64516129032258,19.653233437262475,22.417414378615263,30.552769494894726,37.53336567010612
7,1998,,43.966000193180726,55.526623867485625,8.964957344070594,22.888857360281694,49.259038259038256,29.984413516553747,29.940494874905085,54.137424600052455,28.84828219249934,43.588455638706904,24.408602150537632,50.50000000000001,25.009200239288738,,28.333333333333336,34.79648916115707,52.05056452163872,34.83993732554315,40.879409896688095,34.536978756884345,43.14949874686717
8,1999,,40.11485484212757,53.08064516129033,9.865591397849462,24.70967741935484,55.646853771384905,37.78657876691549,37.85128388919297,59.736559139784944,44.029366585343816,43.44099866168727,32.381589299763974,43.32582422465121,32.735545233220826,,26.725806451612907,36.1989247311828,47.27758359021983,31.545270498492492,37.90399716785404,37.13978494623656,53.6209099721771
9,2000,,44.75179952012796,43.897849462365585,8.544863106532935,20.115001311303438,48.32717975472639,31.963073924238973,25.469403280964535,64.40860215053763,31.344040842143308,35.93997268328819,22.413978494623656,41.64516129032258,30.82225645739278,,21.285598582469966,36.59139784946236,40.677419354838705,26.61007588896378,35.178453884448366,29.994623655913976,40.28696574481458
10,2001,,37.278390044542405,49.11524076671342,11.077629163388409,23.725806451612904,75.06411147587619,37.93405668405668,38.87808066163103,64.90860215053763,41.23065827432468,35.54124747100637,32.37096774193549,39.66282642089094,37.702340700737025,,19.523658558624078,29.751920122887867,40.436664044059796,24.91334488161905,,32.81182795698925,46.78937743809398
11,2002,,37.42957911043162,46.04696430019985,11.263440860215054,25.295698924731184,65.65437241374634,43.64019603374292,30.68076243359484,52.5,39.82795698924731,35.333943833943835,30.58502755941086,38.312749175201155,35.654871543734814,,13.307244843997884,34.263440860215056,46.091262311376155,24.03350685578703,29.021873083299898,34.63440860215054,50.14601379371691
