,Year,PADK,CYAZ,KACV,PAHO,KLGB,KNUC,KNTD,KNZY,PACD,PANT,KMRY,KLAX,KAST,KSAN,KNSI,KSFO,KSIT,PYAK,KOAK,KOTH,PADQ,KVBG
0,1950,83.06451612903226,,52.41935483870968,11.382113821138212,28.45528455284553,,54.03225806451613,43.80165289256198,68.54838709677419,46.774193548387096,44.71544715447155,32.25806451612903,45.96774193548387,40.32258064516129,50.892857142857146,10.483870967741936,33.064516129032256,58.064516129032256,21.774193548387096,24.193548387096776,59.67741935483871,
1,1951,86.99186991869918,,71.66666666666667,11.504424778761061,25.0,,31.9672131147541,33.05785123966942,78.68852459016394,46.902654867256636,60.483870967741936,22.31404958677686,63.333333333333336,31.9672131147541,54.95495495495496,36.75213675213675,48.78048780487805,61.607142857142854,45.2991452991453,45.52845528455285,36.93693693693694,
2,1952,83.87096774193549,,64.16666666666667,8.695652173913043,20.689655172413794,,46.774193548387096,27.73109243697479,66.12903225806451,31.896551724137932,40.32258064516129,27.73109243697479,51.724137931034484,22.22222222222222,36.36363636363637,23.96694214876033,55.357142857142854,68.64406779661017,31.666666666666668,35.08771929824562,48.333333333333336,
3,1953,81.14754098360656,,55.08474576271186,7.8431372549019605,17.073170731707318,,39.66942148760331,28.925619834710744,54.621848739495796,42.3728813559322,40.17094017094017,17.21311475409836,35.483870967741936,22.950819672131146,35.53719008264463,11.666666666666666,51.239669421487605,63.63636363636363,14.285714285714286,31.147540983606557,43.69747899159664,
4,1954,82.78688524590164,,57.5,11.428571428571429,18.333333333333332,,31.147540983606557,41.1764705882353,,43.69747899159664,28.925619834710744,16.93548387096774,39.34426229508197,35.08771929824562,19.35483870967742,9.917355371900827,47.863247863247864,61.98347107438016,17.88617886178862,31.932773109243698,37.735849056603776,
5,1955,83.87096774193549,,57.85123966942149,6.0344827586206895,30.327868852459016,,42.27642276422764,41.32231404958678,85.04672897196262,45.6140350877193,51.239669421487605,37.096774193548384,54.03225806451613,33.60655737704918,,22.580645161290324,30.327868852459016,69.74789915966386,25.806451612903224,45.45454545454545,45.21739130434783,
6,1956,86.88524590163935,,65.2892561983471,19.130434782608695,18.548387096774192,,51.61290322580645,26.446280991735538,77.77777777777777,49.549549549549546,64.75409836065573,27.73109243697479,42.14876033057851,22.88135593220339,,28.925619834710744,54.621848739495796,59.01639344262295,35.77235772357724,31.451612903225808,56.89655172413793,
7,1957,91.0569105691057,,54.54545454545455,25.0,20.512820512820515,,24.390243902439025,37.096774193548384,83.19327731092437,29.166666666666668,37.06896551724138,18.181818181818183,20.869565217391305,27.868852459016395,29.508196721311474,12.195121951219512,42.98245614035088,49.074074074074076,23.333333333333332,22.321428571428573,33.035714285714285,
8,1958,77.8688524590164,,80.16528925619835,9.401709401709402,32.142857142857146,,55.932203389830505,31.147540983606557,87.70491803278688,23.853211009174313,62.60162601626016,37.719298245614034,60.65573770491803,29.914529914529915,67.21311475409836,36.97478991596638,63.793103448275865,83.05084745762711,52.99145299145299,44.71544715447155,68.59504132231405,61.29032258064516
9,1959,84.42622950819673,,56.89655172413793,23.762376237623762,14.285714285714286,,36.52173913043478,35.65217391304348,81.14754098360656,49.166666666666664,36.75213675213675,17.24137931034483,40.67796610169491,32.773109243697476,35.65217391304348,15.517241379310345,36.206896551724135,64.91228070175438,22.22222222222222,31.666666666666668,47.66355140186916,44.827586206896555
