,Year,PADK,CYAZ,KACV,PAHO,KLGB,KNUC,KNTD,KNZY,PACD,PANT,KMRY,KLAX,KAST,KSAN,KNSI,KSFO,KSIT,PYAK,KOAK,KOTH,PADQ,KVBG
0,1950,82.28494623655914,,26.65650406504065,14.865591397849464,41.976145296828406,,44.18010752688172,51.236559139784944,76.57258064516128,51.66666666666667,30.2622661968013,35.14784946236559,43.916218823205185,47.096774193548384,54.76190476190476,15.026881720430108,23.387096774193548,58.77688172043011,19.112903225806452,22.66260162601626,58.50806451612903,
1,1951,85.24193548387098,,50.8130081300813,18.653429113580916,34.516129032258064,,38.83879781420765,38.21236559139785,70.90053763440861,40.564516129032256,49.784946236559136,29.153225806451612,39.92078382322285,36.16935483870968,48.810741687979544,31.397849462365592,40.63172043010752,64.85507246376812,33.024193548387096,32.567204301075265,64.74462365591398,
2,1952,79.90410673337502,,42.026540710751235,26.326326326326328,41.104497354497354,58.86599016633539,39.64891919338459,42.83733133433283,67.06424505285986,38.28430200111616,34.168921806010545,37.34035759897829,31.88544660917705,39.473684210526315,42.58365508365509,20.987460815047022,38.19628647214854,52.218782249742006,23.611462284028654,39.31847968545216,49.966931216931215,
3,1953,81.89516129032259,,39.113412477898464,21.141874180865006,30.686678282908282,,24.471214455806134,29.382279227480467,70.66256830601093,31.618628759915183,37.01588877855015,27.764137494059877,44.19675755342668,34.356765768268964,32.48587570621469,28.912308610061643,36.1033411033411,49.3482905982906,19.883945841392652,40.34466019417476,57.073205200678345,
4,1954,77.6158850637029,,38.798999165971644,13.006230529595015,59.12471183163531,,59.137803979366254,57.06611570247934,,38.13545688545689,37.007555315704266,56.1693489923155,38.18181818181819,55.41046118425786,50.43085329970576,24.68401095428692,31.936426744610884,40.222125435540065,24.39072327044025,26.476230191826524,57.429335370511836,
5,1955,82.58522921363667,,24.326441102756892,27.617985878855443,28.17982456140351,,28.79948914431673,30.090481618694785,,40.89068825910931,28.96551724137931,24.351506679092886,43.7239528148619,27.269004541731817,,16.29189032351661,32.06529354070338,57.437315634218294,15.036541750894106,37.02933702933703,57.53989669262201,
6,1956,90.87927854068457,,46.13590421396361,38.75915750915751,43.52057842046719,,40.578512396694215,35.45676335050149,81.98160535117057,41.31313131313131,37.10907704042715,32.64225181598063,45.65815815815816,36.077586206896555,,26.70234909307166,36.99199507389162,62.45524296675191,23.61111111111111,43.48102877514642,65.95545222738863,
7,1957,81.62321278385198,,37.023809523809526,17.65205091937765,29.08411214953271,,32.21495327102804,35.68561598951507,76.18035354665473,39.740811373092924,28.37881219903692,24.427550833485988,53.00264550264551,35.981308411214954,,30.775801426992263,36.98578342407744,54.42630185348632,21.38374329385565,41.857494754128275,52.312271062271066,
8,1958,67.94129805704837,,42.98469387755102,21.36692091529506,32.68781452192667,,23.969155844155843,26.38888888888889,75.76146076146077,40.85144927536232,38.888888888888886,26.31164985657444,54.26237623762376,27.29572151247535,28.56756756756757,22.337962962962962,29.61309523809524,62.205882352941174,25.14525788862072,35.652863583235934,48.67637844611529,
9,1959,83.32870241733815,,42.80594405594405,20.79947575360419,25.405778282746308,,25.62807881773399,36.43892339544513,79.84234234234233,48.48984898489849,35.12677484787018,25.595238095238095,40.64817029418799,31.517094017094017,43.281972265023114,19.184981684981686,47.61963798661046,63.82577381462745,23.490156823490157,34.66666666666667,49.31225868725869,44.091256204658265
10,1960,80.06617038875103,55.5160525748761,39.636752136752136,26.48809523809524,21.583248212461697,23.44707283866576,18.06075561606535,26.563146997929607,78.2615707144009,49.98006856413936,25.925925925925924,20.84715104009647,56.55339805825243,29.302805280528055,15.277777777777779,17.091503267973856,27.593507410021168,48.73541649669576,19.413816381638163,56.2086435070306,49.96918335901387,25.381372942593337
11,1961,90.45911047345768,45.91438255231358,36.169240146282,17.901383526383526,24.082339361292803,,21.607669616519175,37.49456757931334,77.98069187449718,46.01648351648352,35.04846186262115,23.950501253132835,42.824074074074076,34.294871794871796,26.45571502937458,20.381968948482708,47.445141065830725,54.54695767195767,22.21415607985481,55.83778966131907,38.15426997245179,29.81651376146789
12,1962,76.93109196999167,50.069463739927755,39.58715997550949,26.0571796286082,33.31043956043956,,29.64837997054492,43.17946505608283,82.91666666666667,53.64485981308411,38.45882560394992,33.021223470661674,54.201432785503584,39.23037190082645,29.651860744297718,22.095959595959595,40.303701360329015,58.11904761904762,21.080016164881794,47.38749764639428,38.13725490196079,33.96825396825397
13,1963,79.639068742251,37.826086956521735,46.192508297771454,18.442153493699884,33.23778323778323,41.19565217391305,26.082171680117387,30.895601483836778,75.29723068000581,42.39453357100416,42.90826284970722,25.21672385768467,46.07252075141983,30.790043290043293,35.88060224089636,32.69230769230769,28.016334091100447,47.66835016835017,30.125181422351233,47.15767812741147,44.01005547850208,38.388027407140285
14,1964,81.84375445093292,40.40418315432448,39.39393939393939,26.520705369526453,28.4257942152679,51.580278128950695,27.178542178542177,31.41592920353982,70.43843624406284,50.38373323923783,42.30926989335521,22.675217590471828,53.432162423461165,28.64850178543704,33.33596713021492,26.50738310090238,56.89075630252101,61.61161161161161,22.074074074074076,45.48224695283518,36.81318681318681,42.01104164975237
15,1965,85.27542372881356,52.08047030080928,45.55805805805806,26.90353106107071,29.47723747833227,54.27083333333333,38.77005347593583,37.92786775755552,,,37.703661107916425,33.207614942528735,55.324074074074076,35.29264214046823,36.64219870262888,27.3357049241715,,63.409563409563404,26.474056603773583,39.134379820342986,44.06207827260459,41.539542352468885
16,1966,82.23084105437047,39.36268472906404,50.0,20.954106280193237,36.17301701413851,65.9051925775768,51.69871794871795,53.628143758073094,,,43.313908313908314,39.54607392267076,44.26989335520919,50.16416510318949,56.24185136897002,26.973684210526315,,54.580699536451746,27.719298245614034,34.87560679611651,39.6603025043392,54.57428254320596
17,1967,90.8929425428708,51.81047197640118,36.136249371543485,11.148716912507577,21.726190476190474,37.5,28.601059135039716,27.619724988146043,,,25.427350427350426,20.325134770889488,38.57843137254902,26.88073394495413,25.675675675675677,26.177477560840195,,52.37621793597137,23.223056250579187,42.924528301886795,37.714597147788176,34.0234730142987
18,1968,80.77147866744593,39.010493523528446,34.40864960282436,27.548198482932996,23.61875149485769,46.04341736694678,23.311092577147626,33.20295523685354,,,30.235870048954162,21.09475546975547,46.47435897435898,30.883436486884765,28.480562579013906,20.427042704270427,,66.5137614678899,18.02600472813239,37.11858529819695,55.888168301170516,31.350707580215776
19,1969,89.96498599439775,50.89285714285714,45.10297482837528,23.98520573277855,33.14362108479756,57.61549925484351,42.209707696433355,44.73919523099851,82.7470811333383,,41.404958677685954,34.00290786654423,43.51452119309262,41.44736842105263,37.104437471985655,23.07017543859649,,66.01510666530571,24.4986037065245,43.18181818181819,68.13427077081369,41.74224145103586
20,1970,85.1478494623656,42.20790090391697,27.123029875323454,23.796653796653796,19.299552906110282,38.25374198146828,22.238556897647808,29.17675544794189,74.22833126636351,,32.212475633528264,17.8030303030303,48.07114807114807,28.709273182957393,19.58874458874459,18.399532710280376,,68.62906384645515,15.805954330860391,28.675997425997426,56.20370370370371,26.87510059552551
21,1971,79.11358091623745,44.690265486725664,49.988851727982166,39.167280766396466,28.911924939467312,49.82430756510955,31.302211302211305,42.69361221028829,83.71802002224695,,39.15929203539823,26.89691904293674,44.910714285714285,45.84384636949818,32.58116883116883,26.2513860288294,,77.01304543409807,26.939935064935064,46.587314141094595,65.31045398949564,40.78582434514638
22,1972,86.49052841475573,48.8497425997426,47.041533058482216,22.372810675562967,20.388809862494075,43.08539944903581,20.550161812297738,22.18487394957983,83.24858757062148,,,18.36332741175562,45.238478891395424,23.839522546419097,21.346153846153847,17.052687411598303,,53.574989317761,21.129888942539836,39.62264150943396,50.67791005291005,31.84185974187529
23,1973,74.22088572990705,40.01068376068376,40.510429835651074,26.00574712643678,36.30009319664492,57.103354162177695,44.801553062985334,46.59153005464481,75.30913978494624,43.36506159014558,31.904761904761905,40.91528503293209,44.47811447811448,46.35624741699959,42.11462450592885,14.102451066831247,,61.3102998696219,15.343053173241852,33.481036782923574,66.60753880266076,47.978642257818464
24,1974,89.5856507230256,51.541014698909436,30.689001264222505,20.72072072072072,31.85286935286935,44.28152492668622,32.94742091764036,40.211475664748875,89.21831955922865,,35.80225193525686,25.577731092436974,49.64072309205053,37.96636085626911,34.41558441558442,16.35939036381514,,62.93103448275862,18.66755718817833,44.42007797270955,54.10044977511244,36.09234234234234
25,1975,80.1212288193966,36.110734616427216,37.05447696319907,27.07043913940466,21.008403361344538,53.114754098360656,37.376789697100506,38.49781301257518,77.76709401709402,39.569425901201605,36.63030210558438,30.901639344262296,43.02124990198385,38.58649187802793,35.814832689832684,23.271756978653528,52.129120879120876,53.96306271642939,21.19435949711179,41.110588972431074,49.87288135593221,38.995726495726494
26,1976,76.11253744116388,45.21681562396557,24.759174311926607,20.47035692679976,23.794002607561932,55.64890710382514,34.4847775175644,40.187578814628,78.67414437733679,57.87037037037037,28.539899601869482,25.36135693215339,30.949811117107394,39.453313981615864,34.740716235216276,20.668666196189132,49.80529595015577,53.298660587061846,19.285714285714285,27.803030303030305,55.997954412624196,
27,1977,73.03067568490812,54.23965473470424,23.089668615984404,28.058321479374115,25.347446670976083,46.25858123569794,26.2379896526238,33.377650017966225,71.47462853938885,40.5278232405892,24.35064935064935,27.51231527093596,40.68257652691136,27.35178463399879,25.693080970706042,16.11111111111111,43.45794392523365,37.78195488721805,20.69423043999315,34.24433797909408,30.138339920948617,
28,1978,76.0984427141268,41.85770750988142,17.626231527093598,18.35620592918341,16.890166028097063,34.45378151260504,25.22935779816514,24.455364455364453,73.48261844687411,36.75382101316928,20.15285599356396,21.15009746588694,38.36206896551724,26.447876447876446,23.714953271028037,12.708333333333334,41.35551948051948,45.414372645609966,12.309074573225516,24.178791060446976,57.17551622418878,
29,1979,76.90860215053763,47.63191763191763,40.823412698412696,23.452380952380953,23.659844054580894,44.81951871657754,31.46663612765308,39.1025641025641,59.31728350700683,35.38461538461539,30.313765182186234,29.076819407008088,41.304175893704524,35.04956827630316,28.27683615819209,24.77841704245063,43.13204508856683,60.939884040280745,23.1990231990232,34.0956340956341,48.69985730141113,
30,1980,93.44086021505376,39.603960396039604,41.0,25.689935064935064,22.28613569321534,42.368035190615835,31.437318723815665,33.30578512396694,66.37331594958714,51.0840874811463,39.81481481481482,27.24137931034483,39.325007433838834,33.85723380550692,27.261972750265155,27.619966905681192,48.97393503209493,75.09259259259258,29.094685169451523,39.386602098466504,69.15891384917933,
31,1981,90.13440860215053,50.901787178225945,31.3538308951153,16.10790581631062,30.92105263157895,52.14876033057851,40.43786777431637,43.27383846100423,48.47605224963715,43.37968815844922,27.31290092658589,34.228824273072064,42.03856320945421,42.922908293752286,38.150011981787685,14.839413164155431,40.658268996342954,51.063640409434804,17.24537037037037,35.63025210084034,43.640965732087224,
32,1982,81.46505376344086,28.321610945177763,39.66466466466466,24.051558291650633,34.67380876239207,44.267250364811346,34.61417939678809,41.20218579234973,71.31842178382884,40.88286713286713,39.75503663003663,32.253711201079625,41.77257525083612,38.47026413871333,36.35619090164545,25.964912280701753,50.79905992949471,65.45853510895884,27.38095238095238,31.520376175548588,42.157335907335906,
33,1983,90.06844673353211,23.763157894736842,37.31308411214953,20.849948308964702,16.03453364817001,35.36290322580645,27.425842131724487,36.82971014492754,68.94873231545034,34.02228612508986,23.44541910331384,20.96101730248072,35.485362095531585,26.90014903129657,28.415300546448087,21.66832834828847,46.074895977808595,64.8639948495091,24.63166144200627,36.26526082130966,51.40350877192982,
