,Year,PADK,CYAZ,KACV,PAHO,KLGB,KNUC,KNTD,KNZY,PACD,PANT,KMRY,KLAX,KAST,KSAN,KNSI,KSFO,KSIT,PYAK,KOAK,KOTH,PADQ,KVBG
0,1950,83.46774193548386,,38.88211382113821,13.521505376344088,40.76187464233005,,43.62007168458782,48.87992831541218,77.43727598566308,48.055555555555564,36.9815668202765,35.756829613565856,44.40352963563819,47.23118279569892,57.04365079365079,20.57347670250896,25.591397849462368,58.35125448028674,22.741935483870964,29.275067750677508,58.17204301075268,
1,1951,84.05017921146954,,52.66321754126633,15.65199367805979,37.73297491039426,,45.10157142416103,39.20040059034366,71.91688503358333,37.201740911418334,57.48374946844056,33.34852734922861,43.43342774759199,36.9980572874311,60.768722686881254,33.18261189228931,45.92839333021661,71.35265700483092,34.37245087133852,35.82558364816429,67.30101347175874,
2,1952,82.96128123961695,,43.53493518647783,23.00542967209634,37.68077601410935,58.44689199494823,35.116086184945466,39.85765591780381,67.02588088269754,38.553171031047135,37.22372564845148,34.74864419642031,37.45634135315853,37.14912280701754,38.265646598979934,24.517956332838367,39.32849776609313,54.75554144284795,26.360443882567775,38.82493240291405,47.51418602867878,
3,1953,83.48566308243728,,33.97034516070424,16.708961872210658,29.57459463874797,,27.23851271843658,31.17010705560845,66.45361696591205,33.99199875285637,34.76129279914548,27.41747097305141,44.27931985043259,32.50903028619061,28.266445873108648,25.085269960224583,39.29877912636533,53.388157034946026,17.617334610772673,37.065931654873566,48.01765081914382,
4,1954,82.85503448691304,,38.25537997495454,11.302399300431764,52.693310712615634,,56.091869319577505,54.85319394410303,,43.52708619949999,33.846015470408354,51.13670885201986,37.81086729362592,53.60697412283857,45.38527474882344,23.554772734956714,33.975316944784836,43.48141695702671,23.114064734810636,30.800667222685576,61.409346703464344,
5,1955,86.44570836464668,,33.03444421865475,28.503733705169683,33.56915840325451,,34.8152750451601,35.31455836726545,,41.93935792197502,34.94456311667175,30.817671119395257,47.98988158671953,31.738658395052852,,22.07069974370134,33.80110478471135,60.130624215915645,22.41374169823619,38.971938971938975,53.62472863620283,
6,1956,90.86396347156749,,40.11399462217457,30.73240470029461,38.53752847078765,,40.91664838245691,35.50224901332868,80.5111013867617,42.77197259955881,32.86263399333799,31.285310734463277,45.25358692025359,35.16283524904215,,22.603825949053427,36.342241730172766,57.426302328711806,19.942421413009647,38.470111137453934,59.174979847498854,
7,1957,85.52658630034576,,37.22076598223387,15.548102674774105,32.5392551944897,,33.29481733220051,40.607227476493534,74.8418851823059,41.113757289664285,29.822634923968536,28.785033888990657,49.38738458346302,37.85184572547073,,25.324893259020484,43.663036902601334,55.85606667908263,20.345572452314027,38.911285810928284,49.947311142963315,
8,1958,74.56956102353949,,43.89455782312925,18.961595075605512,28.999083555158318,,21.038961038961038,26.28824476650564,78.23625407696204,40.028912311521005,36.45224171539961,24.620745922082076,56.17491749174917,27.182654921360378,25.48762207585737,25.326757917337627,35.54666119321292,65.76965365585487,27.677959536366615,36.30982984756983,56.049739023073904,
9,1959,87.17639990215706,,43.569975775858126,18.916822219574513,27.66182320299029,,29.441707717569784,36.51483781918564,79.89489489489489,44.672245002278004,33.02745950818973,27.69567597153804,42.71439581174095,32.875802791057026,40.25065957269347,17.335442335442337,43.45813703611869,60.971568507997254,20.289734178623068,34.85714285714286,47.795474045474045,44.30645150485989
10,1960,84.21078025916735,50.401015106897454,43.85569408505188,19.376943217149407,27.894579268077916,40.987507248569194,31.12882283236266,36.839199447895105,78.67010697199377,53.74046612984666,34.87654320987654,29.127985750868913,49.98296712655425,36.34679772325058,26.991907874260818,17.936391586748925,37.48399069499987,59.44679940359428,22.783814095695288,44.94906451870576,49.52900512222546,34.2998326739796
11,1961,92.48998169494881,41.816484919933195,41.53024418160542,19.67836342836343,29.21278764437064,,34.744096128526905,42.5251140183928,78.87788421885246,41.28371628371628,38.020813655540536,30.42127812155758,37.613710201429505,38.380489242558205,34.303810019583054,21.921312632321804,42.84221525600836,53.908498097094586,26.212946158499694,50.95068330362448,39.3492234598954,36.97169293499569
12,1962,78.13105246377026,46.656478651477265,42.07771449347692,24.487557954652658,38.733570351217416,,37.26558664702995,48.7293299804085,80.57539682539682,50.827342439491964,42.163433593516466,40.37573090134507,53.67814817279186,45.042470156106525,40.38937608941882,22.10527099907631,48.42085837815038,64.5431331953071,24.57965989939488,44.621968127899216,39.93100944081336,42.76044517423828
13,1963,83.03621531969276,40.869565217391305,44.00255270165896,17.326215536680426,34.380744380744375,51.273291925465834,35.33683240212954,38.39367782538271,77.88176960587958,46.020031726463834,43.81018692904458,31.910864338171546,46.939202624840355,38.04081982048084,41.99949753912865,26.473234367971212,30.476966090232157,55.11223344556678,27.226311424424633,44.16572481221371,42.80157544720652,43.5191891397742
14,1964,85.93505198689645,46.380566547327426,42.7674806315583,24.800211346674597,35.17471826740574,60.99749634367021,36.54008075060707,41.633607974773675,68.32647886356325,46.64757473681147,41.477784867175075,33.6016602118297,54.240060234259396,36.91509314431435,38.1783940412259,27.581498643844828,54.89686783804431,63.75482011220843,24.061843775239414,45.44495475868025,42.922186847420484,45.41149089334524
15,1965,87.94271946066563,44.93052374408307,48.34305319812566,21.495557924208953,35.593520637728766,63.01671374764595,44.650121120709365,44.08866397512248,,,43.1067885646979,39.52971430951191,56.57968574635242,42.172495890255654,44.03597560567416,30.235815294793014,,64.07989585559679,29.686408106219428,40.005444152073316,50.8239942107219,48.09532708555397
16,1966,86.75333381215735,45.58702791461412,41.156462585034014,19.216317767042405,33.97041713986045,65.97069335680261,48.83362805776599,53.399154662244804,,,35.603767622116244,37.95825218033123,40.72538344892734,49.26198577500768,51.23725763779288,20.498179410791128,,53.20670488974459,22.14925693438489,30.61882558337592,49.12927729981157,46.85904550499445
17,1967,90.97877585453925,52.82940019665684,47.27923871146377,13.84273435192813,27.19599139090664,48.61111111111111,35.16906767194738,35.780096770808846,,,40.598290598290596,26.940403237573047,45.429099175902245,34.7296061057529,33.92623392623393,30.847290336510287,,60.51271671921901,29.896451914800537,43.79492362982929,48.86678848891584,44.90453756508803
18,1968,84.0997532853001,39.22538648694999,38.81211560823211,20.630837823573454,29.25934784341864,54.584500466853406,35.237698081734784,41.67553337629317,,,34.22452498676455,29.95102078046003,46.559229970444925,37.690406933285495,34.11049850946606,19.766895783429476,,65.17584097859327,19.784326776683727,34.778085991678225,54.86884176052877,34.860585680257806
19,1969,91.08776844070961,48.45848595848596,53.317949605471476,19.9901371551857,41.14336643748408,64.52144394767345,46.627200088938764,51.77057459844345,85.93395152478963,,51.332119344446006,43.7512263269839,52.0185303529172,50.13157894736842,44.06402274042741,32.33413994757007,,65.48443008456279,34.01356189130619,53.34928229665072,69.14079589849118,51.077460687245186
20,1970,87.29744586006446,38.07449803850875,38.61773420259659,17.929332619598107,25.686881424586343,51.33582798764552,31.209885389392326,38.37772397094431,71.99267668469818,,35.76069804139979,26.968401968401967,45.50308953978679,37.53032005300608,30.18454532216,20.453489643110895,,66.1550080815448,19.546311896249268,30.82904332904333,57.059779077322936,37.859753673370285
21,1971,81.35349838860274,50.770521818736654,51.98033540275264,32.500409399819866,31.599546598300336,55.53258922419733,36.95001221317011,46.389579008539535,83.54310578513942,,41.04872342589767,30.287601201038285,43.33078958078958,48.3786562003551,34.375100208433544,26.983682639909258,,73.08116072418132,30.240658464342676,42.16932053850751,69.09585821521932,47.59284841400563
22,1972,86.27146338761493,47.41497991497992,51.94073218391568,18.42397904686654,26.056308024271413,52.94012384921476,27.44279793334469,33.30843448490507,84.94350282485875,,,25.33745636974184,46.97314521963235,33.67079280872384,31.676252096812846,18.38600213404799,,59.74068356919802,23.015164056931315,36.447456799169565,56.19423695404087,39.778631132264685
23,1973,74.41056247540023,39.75790132332188,41.29266750948167,21.276558690351795,35.61147354250803,58.758557947198916,49.041743339925326,45.5909345663444,75.56221854608951,41.813266866548666,33.89120049314224,39.42638939890177,43.71935460620475,46.60929314979459,41.21744197831154,13.270681663601783,,55.722018094899454,16.234708121500574,32.89761426553879,63.04909366505067,48.95545847490928
24,1974,90.0015449264615,48.733765150954916,40.16947910368457,14.757210040228907,31.469164363901204,49.79879439556859,38.07605838953802,41.52987266538813,88.21451189006048,,36.18048026915022,29.30253297900357,47.67714872803369,38.70122062782613,37.22943722943723,18.216201763011266,,60.91954022988506,20.480752411166506,45.24760360422525,47.07614082866823,39.83537108537109
25,1975,83.3861413417826,38.19811686292888,37.63401912489133,24.133915948008905,29.02061725591137,62.5807044129127,46.58452646473367,47.595033236453624,75.65425315425317,40.83389455360343,41.67166339202701,41.32181361689558,45.3474999346559,43.985197483902674,46.92951462811275,24.99726327312534,58.33765291312461,62.305907357171414,24.01657864779204,41.60459017915158,50.19774011299435,51.090783955952496
26,1976,81.57502496077592,44.43025803502467,30.12930461374817,15.43261890358079,22.880212264690414,49.52864993362354,30.069497696075384,35.77722645612881,76.58736061937395,55.58704963466868,26.25930413709538,23.023779239172597,33.096975527346956,33.44506646393439,27.79010711977381,20.44577746412609,55.52495920486575,55.023965815103374,19.22077922077922,27.652162652162655,51.456263393726864,
27,1977,78.4093393454943,52.97658663995298,37.030539311241064,22.03888098624941,28.93533481768776,53.89460971268752,36.91228295682166,41.25761463186053,78.18196524474662,47.97092977944042,31.64257126521277,34.433497536945815,46.999393525586164,34.75103960584904,34.50763802605474,22.067601582164688,46.36326696464852,35.82015383285801,25.24396507447355,36.6433724665432,34.29512516469038,
28,1978,81.01007292052897,38.917043101825705,29.879475988822634,17.697240734398136,16.523268580134886,38.095238095238095,28.91396714567942,26.738358912271952,72.51782406262195,31.16921400877952,24.32632643795353,24.356475233668217,40.19459568461383,26.98864277811646,25.333778371161547,14.740028490028491,46.30050505050505,54.4141794648894,15.043656553090514,27.815100473046524,46.52280791757513,
29,1979,82.34584776137537,48.42127842127842,40.48994474879431,20.020885547201335,23.8891713987061,47.121058454729855,33.44152553437741,40.007770007770006,63.39543038398156,36.334841628959275,30.606730304943728,29.729373857545625,39.786829513181935,36.822036343223516,29.303201506591336,21.321204581972736,47.84560581662031,66.2676150012128,21.60636634320845,30.846364759408242,46.75228581998837,
30,1980,93.9605734767025,41.50235536374151,40.902654867256636,23.911284143585025,19.93678887484197,42.10966357840466,26.822410013407975,31.23812466208388,71.74887729972475,46.73721774105405,37.17539378458919,22.287903667214014,39.08216869858261,30.904822537004616,24.022601716551037,27.557854043315483,46.513596806057386,73.27601410934743,27.291193621739612,34.08382168883274,57.64440410458109,
31,1981,91.20071684587812,50.286726043345595,31.908843238252967,12.477734312323022,28.114035087719298,48.89013400569641,39.67044292299058,40.99611829603672,48.84397881068247,39.51169241715929,24.295557139463057,31.708105070936934,40.71007458801372,39.44148302204568,33.27647857609375,12.923245139739985,39.22672478544076,52.171081910383435,14.420890188434049,36.0991804129059,36.76359367389886,
32,1982,85.14336917562724,34.930456679501226,49.132185406695214,18.48085537486189,41.064590456979325,55.067055798763114,41.04713409061235,47.35607904363932,72.19547446653014,34.662652162652165,45.75623131657614,39.016598427838396,49.57457397674789,45.47442896603877,42.4710788347152,29.174348300128855,54.55569512541027,68.41778446791947,33.63858363858364,40.433873972104855,48.507189455465316,
33,1983,91.91697618492783,25.87446772270482,35.9865005192108,18.419739550609236,25.50450391359482,50.51971326164875,40.88276481098017,43.926359469837735,65.57366468088846,34.58628598815515,31.518129869498946,30.923164077360028,38.14966168687613,35.30037946624253,41.165755919854284,21.922187746211005,42.49820651394136,58.21441464543545,24.159202866099417,36.904113274812495,56.49122807017543,
34,1984,82.1714960739351,45.91869324303525,36.20181010447898,16.61092737534605,22.112308936098874,43.461205620459566,25.814059077984115,35.25303643724696,78.69520778347048,41.74369350886369,21.55745489078822,20.99953015653206,45.65588940588941,27.637645006066055,26.056891279131076,14.057382778177171,32.94683897455646,52.06378908357652,14.344441962993292,37.52991505349996,43.56203007518797,
35,1985,84.39615037176013,37.37980920102931,44.98510698246764,23.076181151953833,29.47968991696217,63.33804409270774,47.25506294471811,39.08598646860924,75.17857142857143,36.61156095366621,29.104429144870227,32.72755546340452,41.56981208868001,41.155544981264505,45.32538187905419,26.16227022405512,56.299017348904776,71.50036829282112,23.4416630068804,38.47327019613932,45.69506529252292,39.84636537541846
36,1986,83.27030812324931,35.23763835819608,42.91303786449418,20.497693064064745,26.33480680191431,47.19298245614035,34.53557489168188,34.43175934555245,79.20136339189524,33.043748476397894,30.497049247049247,26.908430766164496,36.04354354354354,34.185380366836,33.45980633632764,17.345777301813204,54.94705744705745,63.590793888769895,27.62305327522719,37.47305536407987,53.98984494872002,39.958933185677374
37,1987,76.41909846656428,40.34742183895809,52.40755090619484,23.645026748475022,29.895843066066913,54.464318498935164,45.674014095066724,47.49960632479141,77.64239028944911,40.03072516319537,39.30941095395373,34.29203539823009,39.4766327956267,45.78461417570329,,23.35106720895561,45.348239935395895,63.096629651276054,25.06131347079662,42.70268566385071,69.91920212259195,49.236008014258914
38,1988,61.01398282890392,39.74637614312159,40.31531531531532,18.493392177602704,22.286599920508568,43.14117399537134,24.635030615533356,31.339136503527882,66.19645196641481,28.003484596499565,26.286637333326382,18.022097095644437,37.28503134167275,29.614078234417708,21.65109034267913,20.634766527970413,35.164731426413674,43.38967494139908,23.92894461859979,37.592994564108274,60.41561923914865,27.836429623352597
39,1989,88.49987764091686,36.72153365247995,44.014646116095385,11.251707917865991,31.586260059396476,58.21346651868294,40.69342718075419,48.92184557438795,65.7120602051577,20.88492417484389,36.06300838184896,28.030807197504203,34.42016992165949,42.01810904857869,40.49582704106289,22.86361863741492,43.01006964050442,53.778572953291786,29.874579161067526,32.02614379084968,44.0743913757407,38.126500944105295
40,1990,94.44421294688674,52.017930765039125,45.90254141139096,7.455834104846482,21.342225004822115,,30.089048053218903,37.44310588920202,65.39267199103266,23.966720343531936,34.33987292444114,19.34431211654985,46.8922305764411,32.18052574990532,32.337651403071966,28.68421052631579,44.26689051689052,49.73885921088561,31.26451598738511,39.144424451442,48.09657576501734,31.966929569669293
41,1991,82.16173929288684,50.132292659944206,39.39591510585426,13.349550346454372,23.31234620572556,,30.041757067284255,39.873448173843435,69.82930040953404,27.36702007874813,31.823997910954432,21.402802497386784,53.955921199064335,37.73068962098114,38.40752154311476,22.902965270566515,47.15333670929177,57.80404181545308,28.446233477890043,49.47103125992468,60.13593294164493,40.15239765844232
42,1992,82.91859847387231,33.92426621302907,39.251859878299,5.950848068182689,21.527626877203147,,39.826719402773705,41.99810393525417,43.625644804716295,25.306313801889022,39.01751505199781,26.89674553053294,35.45722713864307,38.82192853763364,44.78339261741678,20.823682217487526,35.13748255622377,38.30808199534545,26.940512044862526,,34.8090452899995,46.436510741919015
43,1993,88.79718514074297,51.363814812174944,31.840753835236843,6.514088709978917,22.63219741480611,,20.857828609488447,32.25711337166445,52.30859010270775,21.92369627152236,14.815026697177727,19.757708695761792,35.31281032770606,27.540822967923873,14.448603820584497,10.279857648278702,21.88842248109927,36.27664046429928,17.65331703384801,44.13177883766119,55.73661781971561,14.874307857936325
44,1994,74.90414795499541,36.109908609908615,39.312499913753726,8.999388905235046,32.878787878787875,50.88536812674744,37.090991367307154,46.62537881182984,60.86215607918791,26.669655401101252,30.20189207758575,33.02648378405954,31.949506519953257,47.92068251588492,37.823600639010145,19.74115854646828,34.93663279798972,42.79088525912482,25.14905548996458,42.720884137988186,55.784834594995026,33.71194911403907
45,1995,95.14504914888516,34.792826221397654,42.9426703762987,7.731872458648414,28.611411209307175,61.60146202788683,36.94069924033061,40.43959926312868,62.42763772175537,21.17729291642335,38.05679519965235,32.18914684517875,31.03046594982079,36.30766199915136,,24.804112678209687,29.537276449041155,43.55859479753284,32.29525145684039,40.64194223350623,62.8937329226705,38.275662429315084
46,1996,,38.554739652870495,34.24787952224338,9.529424977538186,19.717976786942305,43.98306505700871,26.65436035128937,27.76080962996851,62.27667753094524,28.917821309125657,18.43375015788809,17.065527065527068,25.06272401433692,27.028421914785554,,18.393477867162076,23.813828788793682,32.35407880918911,19.319715372346952,37.17291369008414,37.93969140503794,29.660115481752545
47,1997,,35.16342617787233,23.06451612903226,8.524592632752025,22.5179211469534,46.26088624159559,29.808429118773944,35.27190399378713,50.94982078853047,33.53942652329749,19.042420944594856,23.584229390681003,27.697132616487455,28.157678205234237,,10.448028673835127,25.800668042047352,32.70609318996416,14.544262956241177,22.28313983995802,34.23669467787115,26.94819257038148
48,1998,,39.582115721800115,35.51971326164875,14.039637360320471,19.87704918032787,39.41558441558441,20.501065110678894,23.559936795230914,42.33870967741935,25.089605734767023,30.580796099377967,20.03584229390681,44.18458781362008,19.636823353637514,,25.322580645161292,30.315244572995283,52.08291918918104,31.71643465221447,34.074025662810705,40.41218637992832,28.429925388183104
49,1999,,38.09931722104295,35.376344086021504,11.039351224360713,26.290322580645157,55.82976530992946,34.60735340097255,36.48980594448539,58.27956989247312,47.18637992831541,38.065392751334926,32.25814716130355,36.55017921146953,29.14194824824372,,19.427652781542722,32.912186379928315,43.12724014336917,22.502520669489815,31.627335543132308,42.206108249751516,48.30808080808081
50,2000,,42.093084545646214,24.91039426523297,5.25398331375561,22.204301075268816,48.55584082156611,39.57974618168793,30.137305388990058,60.609318996415766,25.618204270955697,27.27124183006536,23.29749103942652,37.142631246046804,32.65816674907584,,19.32249322493225,27.24910394265233,36.70273485738381,20.276880571802256,30.21900567160724,38.63799283154122,37.01801801801802
51,2001,,30.564356890297102,26.908602150537636,6.043360433604337,25.698924731182796,59.41733941733941,22.258474618356626,39.43250456524793,64.04121863799283,38.145161290322584,23.314500941619585,33.88888888888889,28.010752688172047,39.07391798064044,,12.652329749103943,24.765745007680493,35.24178488599741,15.091036414565828,,29.139784946236556,30.49134810848332
52,2002,,36.171698255840035,40.033553829930014,7.096774193548387,30.232974910394265,59.31169436378857,40.02456027456028,41.87235705092848,51.666666666666664,39.50716845878136,36.74603174603175,32.437275985663085,39.83035149543688,41.80780391874715,,14.739939691723684,23.879928315412187,38.48268008609565,24.815197428833795,,30.753817656094697,46.29610494410329
