,Year,PADK,CYAZ,KACV,PAHO,KLGB,KNUC,KNTD,KNZY,PACD,PANT,KMRY,KLAX,KAST,KSAN,KNSI,KSFO,KSIT,PYAK,KOAK,KOTH,PADQ,KVBG
0,1950,87.90322580645162,,34.146341463414636,8.064516129032258,41.935483870967744,,49.193548387096776,50.806451612903224,80.64516129032258,50.0,39.516129032258064,41.12903225806452,47.15447154471545,49.193548387096776,66.66666666666667,23.387096774193548,21.774193548387096,73.38709677419355,28.225806451612904,20.32520325203252,64.51612903225806,
1,1951,85.48387096774194,,34.959349593495936,12.096774193548388,29.032258064516128,,39.34426229508197,32.25806451612903,70.96774193548387,41.12903225806452,37.903225806451616,25.806451612903224,43.08943089430894,29.838709677419356,41.73913043478261,16.129032258064516,37.096774193548384,63.04347826086956,18.548387096774192,20.967741935483872,65.3225806451613,
2,1952,83.73983739837398,,39.31623931623932,14.814814814814815,30.357142857142858,59.50413223140496,37.704918032786885,38.26086956521739,67.74193548387096,26.126126126126128,32.20338983050848,29.310344827586206,33.663366336633665,34.21052631578947,38.73873873873874,13.793103448275861,38.46153846153846,58.8235294117647,17.699115044247787,35.77981651376147,51.785714285714285,
3,1953,86.29032258064517,,32.432432432432435,11.926605504587156,21.1864406779661,,8.264462809917354,20.168067226890756,70.49180327868852,36.134453781512605,31.57894736842105,14.40677966101695,44.91525423728814,22.950819672131146,16.666666666666668,28.037383177570092,36.75213675213675,50.833333333333336,16.363636363636363,37.0,59.83606557377049,
4,1954,85.48387096774194,,41.81818181818182,16.666666666666668,56.30252100840336,,66.10169491525424,58.67768595041322,,33.92857142857143,35.77981651376147,56.19834710743802,36.36363636363637,57.72357723577236,59.83606557377049,22.77227722772277,38.65546218487395,53.65853658536585,21.69811320754717,28.181818181818183,73.94957983193277,
5,1955,86.17886178861788,,25.43859649122807,23.931623931623932,43.85964912280702,,47.41379310344828,43.80165289256198,,39.473684210526315,37.93103448275862,38.793103448275865,42.14876033057851,44.62809917355372,,13.114754098360656,39.34426229508197,74.16666666666667,13.559322033898304,29.914529914529915,75.63025210084034,
6,1956,92.6829268292683,,49.152542372881356,43.58974358974359,37.903225806451616,,33.88429752066116,32.25806451612903,84.61538461538461,38.18181818181818,39.130434782608695,31.35593220338983,45.370370370370374,32.5,,27.966101694915253,28.448275862068964,58.8235294117647,22.22222222222222,44.53781512605042,78.8135593220339,
7,1957,80.48780487804878,,38.333333333333336,8.571428571428571,26.16822429906542,,22.429906542056074,40.17857142857143,74.31192660550458,34.82142857142857,34.285714285714285,22.641509433962263,56.48148148148148,37.38317757009346,,41.12149532710281,33.62068965517241,55.45454545454545,31.53153153153153,42.47787610619469,56.41025641025641,
8,1958,73.17073170731707,,55.357142857142854,23.58490566037736,33.64485981308411,,34.54545454545455,31.48148148148148,76.06837606837607,45.833333333333336,43.51851851851852,30.8411214953271,61.0,29.357798165137616,35.13513513513514,25.925925925925927,40.17857142857143,78.33333333333333,30.088495575221238,36.79245283018868,48.24561403508772,40.20618556701031
9,1959,83.60655737704919,,32.72727272727273,8.571428571428571,27.049180327868854,,19.82758620689655,34.78260869565217,75.0,47.474747474747474,26.724137931034484,28.333333333333332,38.05309734513274,34.18803418803419,34.74576271186441,17.857142857142858,35.77981651376147,57.00934579439252,19.81981981981982,33.333333333333336,52.67857142857143,31.48148148148148
