,Year,PADK,CYAZ,KACV,PAHO,KLGB,KNUC,KNTD,KNZY,PACD,PANT,KMRY,KLAX,KAST,KSAN,KNSI,KSFO,KSIT,PYAK,KOAK,KOTH,PADQ,KVBG
0,1959,83.05084745762711,,52.88461538461539,33.027522935779814,23.762376237623762,,31.428571428571427,38.095238095238095,84.68468468468468,49.504950495049506,43.529411764705884,22.857142857142858,43.24324324324324,28.846153846153847,51.81818181818182,20.512820512820515,59.45945945945946,70.64220183486239,27.160493827160494,36.0,45.945945945945944,56.70103092783505
1,1960,79.48717948717949,56.41025641025641,38.888888888888886,29.166666666666668,21.348314606741575,22.115384615384617,20.192307692307693,20.952380952380953,83.01886792452831,52.21238938053097,22.22222222222222,25.806451612903224,50.0,22.77227722772277,13.88888888888889,15.555555555555555,32.11009174311926,43.689320388349515,17.045454545454547,53.763440860215056,49.09090909090909,23.404255319148938
2,1961,88.23529411764706,47.863247863247864,29.347826086956523,25.892857142857142,19.469026548672566,44.21052631578947,16.666666666666668,26.271186440677965,74.54545454545455,53.57142857142857,27.61904761904762,17.54385964912281,48.148148148148145,25.0,20.168067226890756,8.653846153846153,60.3448275862069,54.464285714285715,16.842105263157894,48.03921568627451,33.333333333333336,22.01834862385321
3,1962,67.79661016949153,54.23728813559322,48.54368932038835,29.591836734693878,36.26373626373626,53.7037037037037,36.08247422680412,49.473684210526315,89.16666666666667,67.28971962616822,30.18867924528302,43.82022471910113,56.19047619047619,43.75,26.53061224489796,19.19191919191919,35.77981651376147,55.23809523809524,19.387755102040817,47.87234042553192,40.0,35.55555555555556
4,1963,77.3109243697479,43.47826086956522,28.42105263157895,25.77319587628866,23.232323232323232,25.0,15.957446808510639,17.647058823529413,74.56140350877193,49.494949494949495,25.471698113207548,13.26530612244898,60.95238095238095,15.151515151515152,13.72549019607843,25.0,29.906542056074766,43.51851851851852,16.9811320754717,54.12844036697248,39.80582524271845,19.148936170212767
5,1964,84.87394957983193,43.10344827586207,33.333333333333336,32.6530612244898,27.027027027027028,46.017699115044245,20.72072072072072,30.088495575221238,66.08695652173913,56.73076923076923,36.79245283018868,21.62162162162162,51.724137931034484,25.43859649122807,32.743362831858406,22.82608695652174,64.76190476190476,63.96396396396396,21.0,46.846846846846844,42.857142857142854,35.39823008849557
6,1965,83.05084745762711,55.85585585585586,53.153153153153156,31.683168316831683,28.8659793814433,42.708333333333336,36.36363636363637,24.528301886792452,,,27.659574468085108,30.208333333333332,48.148148148148145,28.846153846153847,26.73267326732673,32.6530612244898,,53.84615384615385,31.25,43.689320388349515,34.61538461538461,25.53191489361702
7,1966,85.47008547008546,45.689655172413794,50.0,14.130434782608695,36.44859813084112,56.60377358490566,44.23076923076923,49.532710280373834,,,33.63636363636363,37.86407766990291,46.08695652173913,44.23076923076923,48.07692307692308,25.0,,41.904761904761905,27.36842105263158,40.625,52.293577981651374,45.283018867924525
8,1967,89.91596638655462,47.78761061946903,30.392156862745097,17.346938775510203,19.642857142857142,24.107142857142858,15.454545454545455,22.80701754385965,,,16.666666666666668,15.178571428571429,42.15686274509804,13.761467889908257,21.62162162162162,33.663366336633665,,46.808510638297875,26.262626262626263,52.83018867924528,27.722772277227723,26.605504587155963
9,1968,80.50847457627118,42.05607476635514,24.271844660194176,29.20353982300885,18.91891891891892,41.666666666666664,18.181818181818183,30.508474576271187,,,25.233644859813083,16.964285714285715,52.77777777777778,26.724137931034484,20.353982300884955,13.131313131313131,,75.22935779816514,13.829787234042554,34.95145631067961,59.48275862068966,29.914529914529915
10,1969,91.59663865546219,65.17857142857143,33.68421052631579,29.523809523809526,20.90909090909091,38.18181818181818,24.242424242424242,26.363636363636363,82.30088495575221,,38.18181818181818,17.59259259259259,41.83673469387755,25.0,18.556701030927837,18.94736842105263,,58.76288659793814,20.792079207920793,40.0,76.6355140186916,29.702970297029704
11,1970,79.16666666666667,46.55172413793103,18.34862385321101,30.476190476190474,9.090909090909092,19.130434782608695,4.8076923076923075,14.285714285714286,72.03389830508475,,24.074074074074073,7.2727272727272725,54.7008547008547,16.19047619047619,1.9047619047619047,12.5,,66.08695652173913,8.24742268041237,33.92857142857143,40.74074074074074,5.504587155963303
12,1971,84.03361344537815,49.557522123893804,48.69565217391305,47.82608695652174,20.535714285714285,31.35593220338983,13.513513513513514,36.206896551724135,82.75862068965517,,28.31858407079646,15.74074074074074,34.82142857142857,39.6551724137931,16.071428571428573,17.757009345794394,,73.6842105263158,17.272727272727273,44.03669724770642,56.63716814159292,28.181818181818183
13,1972,84.7457627118644,55.357142857142854,28.82882882882883,22.727272727272727,16.216216216216218,26.666666666666668,7.766990291262136,20.0,89.83050847457628,,,10.280373831775702,46.55172413793103,19.23076923076923,10.0,10.891089108910892,,50.847457627118644,14.736842105263158,28.30188679245283,37.96296296296296,23.853211009174313
14,1973,67.79661016949153,35.57692307692308,25.663716814159294,32.18390804597701,24.324324324324323,45.2991452991453,28.94736842105263,34.166666666666664,69.16666666666667,47.36842105263158,23.80952380952381,29.72972972972973,42.592592592592595,36.97478991596638,26.956521739130434,10.280373831775702,,53.389830508474574,11.818181818181818,28.282828282828284,52.72727272727273,35.08771929824562
15,1974,89.65517241379311,50.450450450450454,35.714285714285715,29.72972972972973,10.714285714285714,27.272727272727273,14.655172413793103,21.10091743119266,90.83333333333333,49.0,33.673469387755105,12.5,53.982300884955755,19.26605504587156,14.285714285714286,19.444444444444443,65.1685393258427,65.51724137931035,16.9811320754717,54.629629629629626,51.30434782608695,18.01801801801802
16,1975,83.19327731092437,31.092436974789916,39.6551724137931,34.48275862068966,15.966386554621849,30.0,19.469026548672566,24.576271186440678,88.03418803418803,46.42857142857143,32.743362831858406,20.0,40.17094017094017,27.586206896551722,22.52252252252252,28.448275862068964,57.142857142857146,55.75221238938053,22.01834862385321,45.6140350877193,34.74576271186441,25.0
17,1976,69.29824561403508,38.679245283018865,22.01834862385321,24.56140350877193,15.384615384615385,39.166666666666664,21.428571428571427,33.65384615384615,74.56140350877193,55.55555555555556,16.513761467889907,12.389380530973451,26.605504587155963,30.18867924528302,25.233644859813083,20.18348623853211,41.666666666666664,39.6551724137931,17.142857142857142,27.272727272727273,57.758620689655174,
18,1977,66.38655462184875,49.504950495049506,22.105263157894736,32.432432432432435,28.846153846153847,53.04347826086956,27.272727272727273,29.565217391304348,68.96551724137932,48.07692307692308,21.428571428571427,25.714285714285715,36.283185840707965,22.80701754385965,34.57943925233645,10.0,65.42056074766356,57.142857142857146,20.2020202020202,29.464285714285715,26.363636363636363,
19,1978,71.55172413793103,45.45454545454545,12.931034482758621,20.18348623853211,14.814814814814815,29.41176470588235,24.770642201834864,29.09090909090909,68.10344827586206,35.64356435643565,22.123893805309734,20.37037037037037,38.793103448275865,28.571428571428573,25.0,18.75,31.818181818181817,36.206896551724135,15.09433962264151,21.238938053097346,46.017699115044245,
20,1979,68.33333333333333,45.714285714285715,36.111111111111114,28.571428571428573,15.74074074074074,29.41176470588235,18.01801801801802,24.03846153846154,59.130434782608695,30.76923076923077,21.153846153846153,18.867924528301888,42.241379310344826,22.641509433962263,13.333333333333334,27.522935779816514,31.48148148148148,46.017699115044245,19.047619047619047,29.72972972972973,37.735849056603776,
21,1980,93.33333333333333,36.633663366336634,32.0,24.107142857142858,21.238938053097346,29.09090909090909,21.49532710280374,23.636363636363637,64.1025641025641,62.745098039215684,29.62962962962963,20.0,20.17543859649123,24.271844660194176,24.271844660194176,25.510204081632654,53.608247422680414,76.85185185185185,28.282828282828284,38.095238095238095,70.79646017699115,
22,1981,88.33333333333333,57.94392523364486,30.275229357798164,13.20754716981132,25.0,47.27272727272727,34.57943925233645,36.134453781512605,58.490566037735846,50.476190476190474,23.47826086956522,32.743362831858406,46.788990825688074,31.932773109243698,32.71028037383178,12.371134020618557,43.925233644859816,38.3177570093458,15.74074074074074,34.285714285714285,36.44859813084112,
23,1982,75.83333333333333,36.08247422680412,44.14414414414414,32.17391304347826,23.58490566037736,31.623931623931625,15.315315315315315,26.666666666666668,75.42372881355932,49.03846153846154,20.535714285714285,15.384615384615385,37.391304347826086,21.568627450980394,19.81981981981982,21.92982456140351,45.945945945945944,58.035714285714285,21.428571428571427,35.45454545454545,41.07142857142857,
24,1983,87.39495798319328,17.0,19.626168224299064,26.126126126126128,8.928571428571429,17.5,13.675213675213675,27.82608695652174,61.86440677966102,26.923076923076923,12.631578947368421,9.401709401709402,21.818181818181817,13.636363636363637,16.666666666666668,19.607843137254903,37.86407766990291,57.79816513761468,19.09090909090909,25.471698113207548,39.473684210526315,
25,1984,75.21367521367522,49.31506849315068,33.0188679245283,30.17241379310345,16.513761467889907,25.0,5.3097345132743365,25.43859649122807,78.76106194690266,48.51485148514851,15.384615384615385,10.377358490566039,40.17857142857143,17.54385964912281,8.256880733944953,8.653846153846153,30.18867924528302,48.598130841121495,9.473684210526315,33.035714285714285,47.61904761904762,
