,Year,PADK,CYAZ,KACV,PAHO,KLGB,KNUC,KNTD,KNZY,PACD,PANT,KMRY,KLAX,KAST,KSAN,KNSI,KSFO,KSIT,PYAK,KOAK,KOTH,PADQ,KVBG
0,1960,38.0510008084271,21.301934115312164,46.038267335078885,2.810682921507664,11.85069868763615,34.79733181312788,23.99957731615411,14.512448903753253,38.213763546978086,16.58164491603277,29.75548453676887,14.296676842439007,13.842437650697594,11.917933959043346,16.55268480842957,11.227376170425824,13.476272086375769,27.001217878455726,15.713450564874762,22.135726798905562,14.900959048647914,39.8347882385285
1,1961,36.29341544805882,21.125986749885648,39.44176013504815,1.6832663285461475,14.849949472969296,,32.92891898649839,19.265215658152254,40.51249433470074,16.597847002512317,22.377723757426956,18.102890924289667,15.778643441182137,12.950104307879965,33.37989118238515,8.959501418620182,14.788324563188649,35.74792967386888,15.162912766979796,24.24445119746506,15.186554593843667,39.47993293143165
2,1962,41.41547815168347,25.021739674781678,42.3266195910464,2.939884003750207,13.06957485297465,,30.370332365343454,23.699402493095185,38.6549470565864,18.074689660972847,30.46823022554105,17.661942049096375,16.441208769601047,15.112735934876099,25.78089509320207,13.4611807587354,14.127923217878239,31.250741738275405,19.40629222073401,20.040585901739398,16.970999429603,41.46019962369046
3,1963,39.94406709613548,21.910885356353297,38.523448394127975,2.010844239828506,10.169029622034245,29.452634142902014,18.509931302625866,15.151591999487312,42.39062502353421,18.75264652563597,22.91134204794512,11.481068243684659,10.979309092917585,9.35249018779325,16.852377447696753,7.27802279082646,15.209595895083066,24.500513610683104,12.95075555175583,20.651220735250178,19.276020113106547,34.216639428730424
4,1964,39.5907359412893,27.10745732449225,34.63197306907006,2.524800643018804,13.686452919916935,47.115865555606604,25.702949720205975,21.46972004141455,45.417387375244466,17.70970014850704,22.988513377023693,15.762472939400656,16.974546591324305,14.972853313207207,24.177923816089358,10.693087484103847,15.546049295537674,29.73158654892124,12.811521225245533,19.962176147717653,17.73202387543348,37.942918004242415
5,1965,37.86879141900663,28.757285603089656,47.58191106466968,3.1261481600676544,9.293736655878202,40.98542008383451,26.768550262366034,15.598716103460248,,,21.76462434491509,13.692553919146324,16.5998406530831,9.78904946266892,21.172520186891326,11.233292407871293,,41.005854563733706,15.236760550542337,22.389512697804097,24.435049493065378,33.48624426023797
6,1966,40.30240546773971,29.095492666990037,29.147953475684567,2.5442684063373715,6.6974023415486625,41.596842586600594,25.435150071697628,18.667215892539666,,,22.909350805275004,12.125573794225115,12.753900260241121,9.668345092992695,20.3689165018111,9.526324722771797,,32.52082308774933,11.715409864607745,18.481373634819157,21.91429957341352,34.363954060991276
7,1967,46.62925021353685,27.559920838078522,50.967075644825,3.3647522136726,11.64651703969073,41.78520096504286,34.65862298178489,20.89818512025486,,,29.236985236985237,14.457924968660166,20.05264153637467,18.545275122712845,28.77328247239752,10.589525863803766,,31.54318291996065,14.706878058362616,20.55132869644769,24.271726293696357,45.67530135358756
8,1968,34.85166259253481,21.129846241230737,38.97212219949212,4.642253247061588,6.775765532185089,37.64441842310695,25.304474436139675,10.095752036190909,,,20.833311748748525,10.965197769644243,16.144428535852395,8.872473650271601,20.19208701831206,10.124124290730695,,20.87027702165317,11.295050837551129,20.452767991100767,20.08071717388837,31.65261713355203
9,1969,32.31711766494375,18.80293827445252,46.21038850322738,2.7487350522147325,9.470443349753696,41.32306076334546,34.884454644640805,20.583766744719355,29.068816049567157,,32.64077762911512,19.254745468535916,20.694282029161247,14.229637174101299,24.924206328960132,10.608488615626259,,35.081790447938914,11.068275649364532,22.227172609859668,27.756155572669332,43.12040618346289
