,Year,PADK,CYAZ,KACV,PAHO,KLGB,KNUC,KNTD,KNZY,PACD,PANT,KMRY,KLAX,KAST,KSAN,KNSI,KSFO,KSIT,PYAK,KOAK,KOTH,PADQ,KVBG
0,1962,77.35536300958451,48.84857087819476,53.05553751463942,20.17233753676079,33.9400577607231,,43.577444739855245,41.08301636337647,70.96073423064055,52.699407688204474,44.96062550439375,36.59804398332682,49.67107328012806,36.80265820554594,40.45659756552555,27.104134163156996,48.77473552768932,61.72139417418295,30.435503996178593,42.353469087385506,42.973788488408495,50.40121973711114
1,1963,84.54890708714717,47.292152409485716,46.535692285083194,17.224358773696487,28.355643856414275,47.526918177938306,33.180032530433735,34.9377554292272,80.10378700140407,49.548367300717736,36.02503138297006,25.815802221334042,42.37614693690897,31.377601940871813,34.889914530738295,20.77300642776561,38.474942030005444,58.57743688687773,23.769751299105817,38.64728638958694,46.63487169782916,41.36210591217692
2,1964,83.19893774022772,46.9532195864596,44.6909590315072,18.476523372486614,28.8290148704751,61.30399771148586,34.92057758359802,36.599134943136804,75.42166141050518,49.175893660057866,38.577652331638056,28.981428733555756,45.21222656449101,33.08222149504656,36.93165286675499,22.263269799373024,52.66881262336574,57.77224820606191,24.079987852173662,42.4315726418278,42.25020229514045,45.816935890365066
3,1965,88.37532979560225,48.705749905608954,56.56872148601433,22.953774549015552,27.78065236421765,57.0259770119092,40.6270714142915,37.749049910391875,,,39.12658217420996,32.647700629154336,48.578111004419036,33.97335704024897,36.91403562823824,24.88397958321743,,68.13731913277529,28.748885047593006,40.75020372477713,46.2164756091068,41.78743435880466
4,1966,85.14410453529209,48.68383835103058,43.16766861184629,19.910663501368152,24.75706531403469,58.02695928839391,39.72887328148361,39.26256268457433,,,34.54534326199961,28.4305603564581,40.26950322761661,34.376078722676986,40.2979193356476,21.134690069597447,,65.1886443436116,23.751114874353696,33.64375971292615,46.53051165769319,44.98254151965297
5,1967,83.64576414336734,50.90289033153334,51.33989111336573,15.756527627391835,25.953587326846314,54.22018946301328,42.8050801526738,35.971438872036074,,,37.035187035187036,28.518571612689357,41.1688506563968,32.545822926571795,37.761759582386766,20.5455971518653,,66.24388491313123,24.385399482204946,34.95464468286538,46.781450510482536,45.50107257667897
6,1968,80.67027969604723,44.060699402102976,46.26414770339568,16.996713275350242,26.087684380155004,55.795498527279776,36.741074133850475,34.137338177923546,,,37.32602521481112,28.08803771653142,41.89924663850683,31.300168922809746,33.846682405016175,22.563736091117043,,60.69807490115079,25.276838235048437,38.442937005004424,46.477018002026725,39.091895739509425
7,1969,79.91247410397067,42.63779347898002,47.164843115797865,15.276483945270021,30.6336751001341,59.586481655812996,46.32757388304028,42.804725506782695,83.40556988178407,,41.50742362354391,35.95920974167727,43.25846827620911,37.987461535905155,37.14287605193281,21.438287938694334,,61.49881622288711,24.584278569009463,37.700299338411746,59.734490997993056,48.88407168377737
8,1970,80.87971502414551,41.018275128657386,44.14048726313664,15.048352352007852,21.16712775865463,53.17596985436004,35.11572016323994,34.263450304769215,70.53588032433557,,36.683149108617194,25.276771667389916,41.2175288355378,31.46899343615891,32.04188148839551,17.924090678577933,,66.01538229417471,21.74486305508204,32.66956742790314,55.004513525371976,40.179304264851325
9,1971,78.3484196196181,45.41675118423787,50.42921675070138,26.403096045424697,22.94268798402094,46.5194615715587,33.44330959074009,35.911792345302324,81.58908751921508,,33.988986709419684,23.763034711747036,38.94353377692407,36.23778411845576,31.27863607895087,19.165633405979424,,68.0234135353889,22.64908792221117,37.58759417859027,56.012725211275885,39.873268742121745
10,1972,85.61787755014527,40.649491184014,51.66740018245107,15.004539359068486,20.165975034363075,46.830321819235344,27.037183087052135,29.505180725229746,76.80329756483839,,,21.32051439368414,40.29266491632826,28.944171965331257,32.13468520537618,19.810627914918058,,59.77116036137512,24.713363008012998,34.457402631535686,50.47933202455027,36.598676087836225
11,1973,76.15174731628052,42.53757024939087,47.251309785788585,18.27010651744591,34.52121809948774,61.90856374307756,51.18384221266948,44.41769942147211,73.85526919532812,45.50846788060162,37.68533666293529,38.15077289156749,42.64665430158434,43.36903109289113,42.75306421881725,17.661480664462417,,57.881684814801396,22.039616206711866,33.48482478724545,49.98115300608659,49.17500786326623
12,1974,79.77311746021057,42.825427458161656,45.96157195583156,15.515111677567704,29.641456183482607,56.84399253550801,42.63998483371226,41.931671069920455,84.5376183423493,,39.50125327583753,33.793093416007416,42.7304476064129,39.142433842326376,38.02609252452599,19.561775764678696,,58.6921539530481,25.529085613514514,41.99307848603843,45.686885770523006,46.94845574510152
13,1975,80.84000134005204,47.11732150487313,46.16137395079995,20.07105187975079,27.33878421350918,62.125223701326114,44.6114944449473,40.043756026825996,77.16024754114713,46.16567538309802,40.39563855754654,34.81947977165514,42.579448002375344,38.124613619216085,,25.09199481891707,57.62209966512119,58.97706563344947,27.305123991906775,42.78438927595424,43.6593493729979,50.94990821952929
14,1976,83.3201170174666,47.138720775547924,43.64996482260206,16.284939900411874,24.49686969390239,53.45205347786163,34.648367861580866,37.09285715914973,80.19990171764671,53.6066385105341,29.895384801230644,26.606393321655585,34.62502761162215,33.82977413282327,35.985145976887225,21.794160413850808,46.33628868029457,45.607931748715124,23.48041093774277,34.43764517101478,52.167487376180055,
15,1977,75.72059522431097,47.6424302868715,46.4425609879482,20.23263447724702,25.924385034490705,54.73291755919217,37.96957396457635,36.602773888441334,67.57678722607906,44.624049125676166,31.223542983088173,29.694773833688654,41.897941215618246,30.78228417971678,32.56611496979239,21.825970140050742,43.71387334615084,37.79825475404318,27.19843309981985,37.2555485931073,38.4416612513805,
16,1978,76.25996543119257,43.27764489273516,39.28138220735351,18.029591561891475,19.201771412259607,46.54492098267122,36.893940610512296,30.00476386537834,63.99000652761127,38.77345874076213,28.628237799687778,25.46511370436058,42.34325497879254,29.644829068272198,30.416562237778404,16.50363378615626,51.87304362304362,53.30020825432485,17.9196515885977,31.175096826419523,43.17539987325158,
17,1979,83.15590096071233,48.30899101480215,40.906088363100075,19.808707279272635,22.34990998103772,46.657624072741825,32.26110027790808,34.79556379047987,62.56636749122499,37.828386349807836,28.15391921651941,27.286722039131785,36.22658522313504,32.8685540527177,27.791032568599114,19.796722018075823,43.84729219989746,67.94336501552206,22.967764780501557,32.71989166292015,43.57270787076543,
18,1980,87.44810827556829,48.81681381927097,47.49235016604148,22.81233444550541,20.42895856702845,50.420030937136026,33.037696658772724,34.65406137189967,62.25146493740474,49.50522561240019,38.4749824143555,27.471955981719855,45.954152786728386,33.349903523585006,32.09745489066007,23.83196601184267,50.041924721604936,73.24718975263174,28.08846406911145,34.44902371500283,46.20277206886148,
19,1981,85.95916529376169,48.01778027168403,43.724479614423686,20.352558924708195,23.08891622339698,51.30202782620894,38.00444704247466,32.87421463272768,58.58842079258824,36.77848945384125,31.082425510819263,25.10087032428539,40.34027968556586,32.01520011326697,33.407793281024546,18.342057915462345,52.57006846385407,66.68942751825324,22.540332107466295,37.15234929810415,36.04121680516611,
20,1982,81.11654921090594,38.73061798961927,46.94865986608771,19.381718827767177,27.785639030260917,47.80167684667011,31.358158720876467,35.927142417908,74.99954149145206,39.07780263043421,36.95232097489704,25.500147018007624,41.749226789943414,33.507579783803685,31.017013680922354,22.629332401383273,58.386906378699955,68.30131667259346,26.10546474041675,36.98377364455338,40.747347242766615,
21,1983,86.06022773643826,29.532984618140073,42.63953776547674,19.3605392867209,19.711316346012353,44.40663212441598,32.22620514735515,33.51329600102565,67.94967342185598,37.575724706651876,30.64909394225675,21.917671020296535,37.56576035500132,27.145983601853263,31.899637763343783,20.202956591451784,45.67602563978557,58.16183787762176,22.45200645091322,32.69259897603068,41.159959377754504,
22,1984,74.99118592745658,42.221030504535726,38.55921636762013,19.30437023618376,17.223545886807354,40.56811422867487,23.31287180387294,32.207742923279355,74.88784404708737,39.48376608244685,23.837521191853998,18.061771092810712,40.35668347003751,26.549561916417193,26.295847197743075,15.104040679249374,31.615396072783874,49.93037123215119,17.093228347043578,32.118789663255214,39.94630249459045,
23,1985,80.33021782832444,36.29797601244777,47.3409176742813,25.026850853791263,23.348159563682348,52.19128169876971,35.72614728665169,30.39477484095744,71.62906723934648,34.74605038035165,31.690717863603563,24.806118720675492,44.25200163213482,29.858815161312723,36.67574157956905,25.842040579726223,56.35727766877792,62.82447842466031,27.482581768770906,36.73124240149384,44.6360427905923,34.212596153746965
24,1986,80.93079861849299,42.27065418975349,48.131896309421755,20.068391549948775,23.321136952052864,50.78623134364532,35.6340005675798,30.41682197609482,74.4355349648811,36.27235071555355,34.55643906069624,25.18415987028005,43.91600086633838,28.92785414585676,,19.017909347965517,51.79782864672563,58.01041830205673,29.461555932429633,41.796385275105216,48.176085503530835,43.028185626881466
25,1987,75.95343043039485,38.47114170222853,55.60263395287011,26.576131560146646,27.470273024889128,57.31072688018306,39.87927359014578,40.950750043766654,69.51815104356533,34.28247529983938,39.41894909902394,28.758270794692987,43.070155685931994,38.88341361146353,,25.34747024089566,47.4944350351315,62.199048525221926,29.043458996146505,43.69623279304479,55.75135219415713,52.20557970354896
