,Year,PADK,CYAZ,KACV,PAHO,KLGB,KNUC,KNTD,KNZY,PACD,PANT,KMRY,KLAX,KAST,KSAN,KNSI,KSFO,KSIT,PYAK,KOAK,KOTH,PADQ,KVBG
0,1963,90.75630252100841,37.5,53.982300884955755,13.157894736842104,22.88135593220339,32.45614035087719,20.869565217391305,30.97345132743363,82.20338983050847,69.49152542372882,17.307692307692307,19.491525423728813,24.074074074074073,26.548672566371682,21.92982456140351,11.009174311926605,41.37931034482759,52.54237288135593,17.142857142857142,40.70796460176991,71.68141592920354,32.69230769230769
1,1964,84.48275862068965,51.30434782608695,38.793103448275865,10.784313725490197,25.833333333333332,60.176991150442475,25.43859649122807,27.11864406779661,90.51724137931035,45.21739130434783,33.898305084745765,24.786324786324787,35.08771929824562,26.724137931034484,40.0,16.80672268907563,33.333333333333336,42.608695652173914,22.689075630252102,33.64485981308411,46.36363636363637,40.17857142857143
2,1965,88.23529411764706,53.153153153153156,58.18181818181818,37.142857142857146,19.327731092436974,40.0,27.82608695652174,31.896551724137932,,,35.59322033898305,22.88135593220339,42.608695652173914,25.423728813559322,23.333333333333332,23.931623931623932,,78.21782178217822,27.82608695652174,38.18181818181818,47.27272727272727,30.434782608695652
3,1966,87.39495798319328,53.211009174311926,25.0,15.315315315315315,24.107142857142858,43.58974358974359,39.473684210526315,25.210084033613445,,,19.29824561403509,31.03448275862069,27.272727272727273,20.869565217391305,34.48275862068966,16.8141592920354,,74.07407407407408,16.8141592920354,33.65384615384615,51.75438596491228,44.827586206896555
4,1967,72.64957264957265,46.902654867256636,46.2962962962963,21.62162162162162,36.36363636363637,63.47826086956522,59.48275862068966,47.89915966386555,,,40.0,43.24324324324324,35.714285714285715,43.47826086956522,56.14035087719298,18.627450980392158,,64.42307692307692,27.45098039215686,30.088495575221238,53.50877192982456,53.097345132743364
5,1968,73.21428571428571,44.554455445544555,42.608695652173914,11.926605504587156,23.333333333333332,57.142857142857146,46.610169491525426,31.666666666666668,,,34.54545454545455,31.35593220338983,44.11764705882353,33.898305084745765,37.06896551724138,25.68807339449541,,63.888888888888886,30.18867924528302,33.333333333333336,39.42307692307692,47.5
6,1969,64.34782608695652,42.608695652173914,45.714285714285715,11.504424778761061,31.03448275862069,83.62068965517241,63.559322033898304,50.43478260869565,79.48717948717949,,39.6551724137931,50.0,40.36697247706422,43.10344827586207,46.610169491525426,13.392857142857142,,51.32743362831859,20.535714285714285,33.9622641509434,58.18181818181818,66.37931034482759
7,1970,56.666666666666664,30.97345132743363,19.444444444444443,12.844036697247706,14.52991452991453,44.067796610169495,33.333333333333336,28.205128205128204,64.70588235294117,,15.238095238095237,20.338983050847457,22.413793103448278,26.956521739130434,23.423423423423422,2.586206896551724,,62.5,6.086956521739131,26.08695652173913,46.017699115044245,26.785714285714285
8,1971,73.33333333333333,28.440366972477065,43.58974358974359,6.1946902654867255,21.008403361344538,35.294117647058826,23.275862068965516,26.271186440677965,73.94957983193277,,17.5,21.666666666666668,24.56140350877193,28.205128205128204,28.440366972477065,9.166666666666666,,45.21739130434783,10.92436974789916,25.925925925925927,46.017699115044245,21.238938053097346
9,1972,94.16666666666667,44.54545454545455,45.6140350877193,10.619469026548673,20.754716981132077,52.252252252252255,32.45614035087719,34.21052631578947,59.48275862068966,,,19.642857142857142,35.39823008849557,39.823008849557525,36.27450980392157,20.72072072072072,,51.32743362831859,26.363636363636363,25.0,38.65546218487395,37.391304347826086
10,1973,69.74789915966386,39.83050847457627,41.02564102564103,13.157894736842104,49.152542372881356,68.64406779661017,63.24786324786325,50.0,65.54621848739495,47.57281553398058,47.61904761904762,48.275862068965516,36.93693693693694,52.10084033613445,54.12844036697248,28.31858407079646,28.712871287128714,38.05309734513274,35.39823008849557,34.862385321100916,42.608695652173914,60.526315789473685
11,1974,60.68376068376068,25.925925925925927,67.24137931034483,21.1864406779661,29.05982905982906,70.0,58.333333333333336,46.15384615384615,83.19327731092437,36.0,50.0,47.82608695652174,31.25,40.33613445378151,44.54545454545455,20.833333333333332,50.0,50.0,36.440677966101696,45.535714285714285,52.17391304347826,60.16949152542373
12,1975,71.66666666666667,31.35593220338983,70.0,12.605042016806722,26.271186440677965,68.75,45.833333333333336,32.758620689655174,81.66666666666667,44.24778761061947,51.282051282051285,32.47863247863248,24.347826086956523,34.74576271186441,43.43434343434343,22.608695652173914,64.65517241379311,75.21367521367522,38.26086956521739,42.47787610619469,46.610169491525426,51.19047619047619
13,1976,80.83333333333333,45.04504504504504,47.36842105263158,14.655172413793103,36.03603603603604,62.5,48.24561403508772,51.81818181818182,84.48275862068965,52.0,27.358490566037737,35.18518518518518,33.04347826086956,45.04504504504504,55.660377358490564,25.892857142857142,22.972972972972972,35.96491228070175,28.82882882882883,37.93103448275862,50.847457627118644,40.84507042253521
14,1977,67.52136752136752,33.92857142857143,45.378151260504204,21.62162162162162,27.11864406779661,46.55172413793103,37.719298245614034,29.565217391304348,50.0,40.86021505376344,24.770642201834864,30.508474576271187,28.205128205128204,19.626168224299064,36.666666666666664,21.05263157894737,27.43362831858407,28.82882882882883,29.72972972972973,34.21052631578947,14.678899082568808,40.0
15,1978,74.78260869565217,47.78761061946903,28.571428571428573,13.157894736842104,19.130434782608695,25.833333333333332,25.423728813559322,26.724137931034484,53.78151260504202,42.857142857142854,13.461538461538462,19.82758620689655,38.392857142857146,31.304347826086957,22.5,10.0,28.846153846153847,33.6283185840708,8.181818181818182,34.61538461538461,24.299065420560748,12.5
