,Year,PADK,CYAZ,KACV,PAHO,KLGB,KNUC,KNTD,KNZY,PACD,PANT,KMRY,KLAX,KAST,KSAN,KNSI,KSFO,KSIT,PYAK,KOAK,KOTH,PADQ,KVBG
0,1976,28.837712226937178,23.267517582399616,35.28215853246802,2.209626893870138,6.277181551293137,29.13571757893734,19.696513880086844,18.397071211041276,36.398015506441105,18.309005449158665,21.241386524405392,8.965700773717016,12.186439848063193,11.866429796757666,20.21932184313216,11.300771719047493,12.538903599610913,12.54406198731842,12.232742176993048,16.95576931787266,26.808826359730187,29.2616193872207
1,1977,31.365009717094686,19.8459619314192,38.40498831475175,3.641906096907698,9.409309109707914,25.40172340017411,30.166044526093167,22.788240142430535,24.314904531764036,15.361302567965481,23.58815792375205,14.822255724041284,18.364835756027254,13.721173125132754,18.084555806349442,10.762651954171258,10.45940746440939,12.933547868105356,16.454386870411525,19.236480165028283,20.618241133818167,27.473893372462705
2,1978,29.608262632300985,19.045829704639903,30.010328205971,5.022251873300367,6.661759456473081,29.594108611186407,26.912410572131943,18.551398329906135,28.799471807915484,11.328532843898929,22.37357182452091,14.474681128215721,15.257074682874237,17.250891277408975,19.51151830161276,6.000170638457259,15.747385947385947,33.272216196070254,9.232815076877452,16.075276195704383,18.574656871502295,30.944807076406892
3,1979,37.95817386550027,22.48933958255992,27.949059948239796,3.0733998750973237,6.383861830261329,28.14613559811974,25.40947091229187,19.423497267759565,32.24731523116379,8.606842646996167,24.013716411569888,11.876268780426996,10.927475899462358,13.66479559995715,18.502704324993555,9.86207320068779,9.980379989533308,27.431140354642196,17.648753808838148,12.299234997885673,20.63682864450128,36.61012157678785
4,1980,42.19165085388994,26.364211390379108,36.04629718185631,3.3738032404919913,7.555623916696436,32.999607997248674,23.040139353232334,17.972137392162214,38.35888548250642,16.367282258949828,28.897023898916416,14.291097431403177,17.79431333545963,14.991243236178699,17.613899000895906,12.954615609482866,13.233532547640724,31.931426158980337,18.396268964175192,16.233777179207006,13.382351656144746,35.473595555809865
5,1981,32.34587961789951,24.209275628890055,36.26547392356362,2.859564019643071,7.2894990610566905,33.61817940827832,29.547180948264582,16.404445067002847,23.416369726530156,12.869989386044717,31.44293544094463,10.195537399491112,15.26853657317134,11.004439750435173,22.421366295110914,13.798902037127437,6.181493103560372,30.737623673527253,20.22811653979927,21.555587752342312,14.21920536679058,35.04483964128288
6,1982,32.44162752356363,23.244013296013144,38.87964654460818,2.80791220832369,8.567417765324686,29.265143332133157,20.916641380207203,21.993507310265517,35.542576019015556,11.440723019670388,31.158244328365242,10.679672652522981,20.056611346341477,16.30378401851756,18.544690076948143,12.63541224852633,18.69020035436827,33.45082197109657,17.10398079141578,22.669236779112463,17.935197942076236,33.934922394678495
7,1983,33.368704018109796,13.961023821752903,30.35853866702136,3.763210752505853,8.511899966184563,23.643822041076046,24.811635006187462,21.997478859476445,30.085701485719017,11.318739859880708,23.23348421085755,10.255024553189415,10.072204481563361,11.834571686244022,19.994643573178625,8.685918471840655,9.355538523832696,19.936851849655564,12.751948171688168,13.285670942071686,18.01597918989223,26.305742450320764
8,1984,25.690270128507734,18.950069039318578,33.55389863520294,1.3526472063057429,6.57196518112985,29.497460038303284,18.176918077791957,11.358122483966264,40.314083682921265,13.174470804299077,18.050772583207387,6.082597015675983,11.784346219128826,9.340618606673653,15.343773576532197,9.213323349064208,4.156984261574283,18.538458837131405,12.052538047327,18.086051671128004,17.232951792260014,23.917980254942158
9,1985,25.027130415909276,16.44134392679727,38.51069975713551,4.021937612076287,8.421676003596652,27.52530784921054,23.494501109204826,11.106693959635138,32.48525354599901,13.180807469736688,21.617113894283435,9.6250412270539,18.508012700410614,11.807888972143797,19.26172976544589,11.983167471885928,14.418621080776656,27.86873864953044,15.577190667634852,19.648583652715676,20.36779394161196,22.967094154362943
10,1986,23.943973135383526,24.59596225734348,39.27256441891187,4.607896528250511,9.628485606982379,38.223291202917686,33.163462783661636,13.662822286352185,34.56795315734627,8.876105762330383,31.23883764101156,13.095053151266777,17.9797430149407,12.23318728828804,25.96732703653931,10.114042411086993,14.021427510183134,22.829124464638134,19.015416015505885,23.773893962573208,20.929195162938285,38.10808337849407
11,1987,17.533502177197192,22.43531004681901,42.57606881982498,4.622319713930129,12.029151200351176,29.14975600784522,28.127765024773687,22.267209586203744,31.96657991200816,6.384746291288348,22.77593801408259,9.109578061814535,22.349904534619867,18.789392980209875,,10.76098825002482,7.5521345669677995,21.897169738731257,13.500652281374334,24.96004170206079,19.21025368647499,33.60710090942649
12,1988,15.863520860743984,23.90697904058687,37.07126818750378,1.036033939845192,9.345663650530945,24.494244020946983,25.944737420347177,13.107351884311461,27.925024453198034,11.404624978838061,19.315791224199202,6.995874844557366,11.549037341946388,10.753946466190772,14.752099386805309,7.418442514542564,9.301887364971476,20.829207451318446,12.171230500452253,17.64031358405601,16.176310403229202,28.909000984642784
13,1989,36.13154054617469,18.104406872864626,39.41057935652613,3.4777432426122785,10.052671651682823,,28.381689827328522,17.414028240481805,34.70618675815117,8.224313442001105,23.585061675561878,6.061253333328884,12.44896581722188,12.029956686287056,22.218357543708926,10.945095918055419,20.499493674215522,28.389357631287016,14.190321659010039,17.32254949299855,20.187951192470994,
14,1990,38.05893503437228,23.284695532623587,29.34127241495757,2.1765719091094624,4.2496421736150705,,16.42615210726666,15.424467537570354,33.21400723166051,8.03203661327231,18.49109042433818,3.147375174884376,13.886254953861453,9.271832465408943,16.081029558957333,9.425164182991946,12.52547547799264,24.570819357921188,14.853579474220945,23.56889698994962,19.948497424280095,28.434316675914648
15,1991,33.69482791226427,32.15879478270811,41.830256392014576,4.299848284048134,13.127534647110561,,42.72180665907881,21.754883763193483,31.535769872841826,11.413946766465553,27.705217924169197,14.360682596718283,17.405389742103736,17.435119998617427,32.33151369025048,15.885552382186825,11.497659613057593,27.26343446453929,23.89426867160177,32.67618606565812,19.695732863753015,42.75705329547199
16,1992,33.98867068106921,22.08097280316267,40.256680799315,2.2330646589978684,6.946706468795938,,26.521492797883393,12.470508253839087,18.766356499731863,13.696296015749496,21.765128104511046,6.728155396259491,13.656951043412349,7.675339510922105,20.736753632753,8.853575061152842,11.963975566241714,17.677460144717465,15.643234429982646,,16.530098390785543,28.62545681181417
17,1993,25.53359607939789,27.382420023956104,26.19410671565884,1.376726035493097,5.5896230092162975,,20.43565251096308,10.992241935600816,17.102488677219032,9.370118987766045,17.150978082387375,6.737129937662758,18.809333420724915,9.761444100186495,16.13599464236471,6.152877976336076,9.357569959339873,15.721593670052409,10.575347954586498,27.672436643174684,12.198044354696501,23.880286044856625
18,1994,32.64957264957265,25.77869401984446,26.910735893360545,1.8792167157102337,5.225616719264783,27.16969507008311,21.49191470873393,15.43548296083793,26.976139624508534,13.048578670213766,23.949991073909693,9.491901678080023,12.84784797763839,12.123685426833813,,11.886424969994847,7.069226235622274,11.744859465490675,17.053078111836427,19.622100072374604,17.118297326572023,37.710722861438256
19,1995,29.044758518974895,20.48714280942458,31.93127039878605,3.994562246176828,8.83832885025637,42.83137423738556,31.66830928329353,19.678520362356362,36.19141063191603,13.00578560126283,17.03638451069454,14.871110074236835,11.768817204301076,16.0618827504163,,8.641906724572388,11.33863052567613,17.909648384166026,14.470714626703659,,27.147184764325583,33.55521395425315
20,1996,,19.492263310614753,32.354345467100714,1.9439034286873604,5.44625557361931,33.18161601186064,28.43551559404002,9.60794760794761,30.21137144552369,13.213182295250608,24.636711050180956,6.1364464716156295,13.405821282906933,,,7.630730050933787,7.006093296647718,13.86519100717926,17.301751470587895,,11.075136458719978,31.56357656117887
21,1997,,15.659613830755607,18.71595735068221,4.557965121532484,4.397849462365591,22.45983935742972,15.704849394873369,10.413987836356707,31.198924731182792,15.037109887227905,13.636161514172219,5.859040390349689,7.817204301075269,6.4758631038140475,,5.505376344086022,8.056069737928347,13.311827956989248,9.888857865264399,9.431141806345249,9.95766693774284,23.28104015219281
22,1998,,28.458609057673932,39.16556913874912,2.779444271807858,7.0571728297928145,24.152148328618914,17.81115728089645,12.047791433972812,17.286782061369003,13.441646997115132,22.793306014631902,9.82258064516129,19.134408602150536,9.15579896995826,,11.258064516129034,7.117517171177402,19.52342164245714,17.58221919499996,23.815759278527747,9.149095200629425,25.51691729323308
23,1999,,23.90675990675991,37.752688172043015,3.5537634408602146,7.397849462365592,35.686693901247544,28.200156872214098,20.847769039440642,28.97311827956989,19.49855426041384,26.700663511958776,15.675845790715972,17.239491691104597,13.933896561240408,,13.71505376344086,12.526881720430108,19.373820364327386,18.254648328065887,19.046016661857117,16.102150537634408,41.53852069008068
24,2000,,26.810095085754917,30.908602150537632,1.4773199602421614,6.374770521898768,26.480759417782753,18.7564438972206,10.283427688234053,31.204301075268813,14.368618415107978,23.19833889300855,7.698924731182795,14.102150537634406,9.965982119922682,,10.470595948843739,6.080645161290323,16.71505376344086,14.067827339841978,19.81363201787767,9.693548387096772,31.23818394587978
