,Year,PADK,CYAZ,KACV,PAHO,KLGB,KNUC,KNTD,KNZY,PACD,PANT,KMRY,KLAX,KAST,KSAN,KNSI,KSFO,KSIT,PYAK,KOAK,KOTH,PADQ,KVBG
0,1987,59.82905982905983,30.526315789473685,54.54545454545455,37.93103448275862,30.508474576271187,59.09090909090909,46.21848739495798,29.310344827586206,45.52845528455285,31.03448275862069,34.74576271186441,33.04347826086956,34.862385321100916,31.03448275862069,58.333333333333336,31.35593220338983,50.450450450450454,67.76859504132231,29.82456140350877,44.89795918367347,34.51327433628319,53.93258426966292
1,1988,67.21311475409836,66.3265306122449,74.57627118644068,17.5,38.793103448275865,72.52747252747253,57.85123966942149,46.08695652173913,41.935483870967744,29.41176470588235,53.44827586206897,42.608695652173914,53.982300884955755,43.96551724137931,55.96330275229358,41.1764705882353,58.92857142857143,55.55555555555556,51.69491525423729,54.629629629629626,45.08196721311475,72.15189873417721
2,1989,77.68595041322314,47.57281553398058,34.146341463414636,20.66115702479339,27.82608695652174,,30.0,35.294117647058826,46.721311475409834,47.89915966386555,24.56140350877193,21.238938053097346,38.05309734513274,28.440366972477065,35.51401869158879,21.49532710280374,42.592592592592595,32.25806451612903,26.785714285714285,31.858407079646017,25.833333333333332,
3,1990,80.64516129032258,51.37614678899082,27.45098039215686,11.403508771929825,16.8141592920354,,21.05263157894737,23.68421052631579,33.064516129032256,26.229508196721312,21.73913043478261,17.796610169491526,29.661016949152543,23.728813559322035,32.45614035087719,8.403361344537815,39.31623931623932,36.58536585365854,14.40677966101695,45.833333333333336,25.423728813559322,30.864197530864196
4,1991,66.94214876033058,30.555555555555557,28.925619834710744,8.474576271186441,18.0327868852459,,41.46341463414634,25.641025641025642,39.02439024390244,34.710743801652896,25.619834710743802,29.26829268292683,21.666666666666668,20.168067226890756,28.205128205128204,12.068965517241379,44.067796610169495,35.042735042735046,17.796610169491526,54.23728813559322,25.619834710743802,38.372093023255815
5,1992,70.33898305084746,49.074074074074076,35.51401869158879,6.956521739130435,29.72972972972973,,30.088495575221238,30.70175438596491,42.27642276422764,24.576271186440678,23.728813559322035,27.19298245614035,33.63636363636363,23.076923076923077,40.17857142857143,16.216216216216218,31.818181818181817,37.5,25.423728813559322,31.147540983606557,31.092436974789916,34.523809523809526
6,1993,62.295081967213115,46.728971962616825,41.5929203539823,13.793103448275861,26.89075630252101,54.166666666666664,27.35042735042735,29.75206611570248,23.333333333333332,39.83739837398374,25.925925925925927,24.56140350877193,52.38095238095238,23.275862068965516,29.577464788732396,25.0,42.47787610619469,42.3728813559322,25.0,61.19402985074627,37.16814159292036,25.0
7,1994,43.20987654320987,33.63636363636363,29.12621359223301,7.627118644067797,15.966386554621849,32.35294117647059,18.26086956521739,21.84873949579832,40.0,33.05785123966942,22.80701754385965,17.094017094017094,23.577235772357724,16.949152542372882,,8.333333333333334,42.241379310344826,48.36065573770492,14.52991452991453,28.571428571428573,31.57894736842105,16.867469879518072
8,1995,67.07317073170732,37.391304347826086,26.923076923076923,15.789473684210526,26.446280991735538,48.05194805194805,40.98360655737705,38.21138211382114,34.18803418803419,39.166666666666664,28.07017543859649,30.64516129032258,16.129032258064516,34.42622950819672,,13.392857142857142,27.966101694915253,27.272727272727273,23.893805309734514,35.294117647058826,36.36363636363637,31.818181818181817
9,1996,,36.0655737704918,28.225806451612904,12.096774193548388,25.0,54.54545454545455,35.8974358974359,30.508474576271187,40.32258064516129,33.333333333333336,13.793103448275861,32.25806451612903,29.032258064516128,21.05263157894737,,16.93548387096774,33.333333333333336,37.096774193548384,20.168067226890756,23.232323232323232,24.193548387096776,27.551020408163264
10,1997,,45.90163934426229,33.87096774193548,21.774193548387096,16.129032258064516,36.36363636363637,11.206896551724139,25.454545454545453,45.16129032258065,24.193548387096776,24.59016393442623,10.483870967741936,27.419354838709676,15.517241379310345,21.875,14.516129032258064,26.495726495726494,26.612903225806452,18.333333333333332,20.168067226890756,25.0,13.934426229508198
11,1998,,47.15447154471545,14.634146341463415,12.096774193548388,15.447154471544716,35.44303797468354,10.483870967741936,17.741935483870968,40.32258064516129,34.959349593495936,23.140495867768596,9.836065573770492,25.0,19.626168224299064,21.53846153846154,16.93548387096774,14.754098360655737,25.0,20.66115702479339,25.0,31.70731707317073,20.481927710843372
12,1999,,30.08130081300813,36.29032258064516,13.709677419354838,11.290322580645162,32.432432432432435,17.796610169491526,10.344827586206897,29.838709677419356,40.32258064516129,19.82758620689655,14.516129032258064,25.203252032520325,10.655737704918034,,14.516129032258064,39.516129032258064,54.83870967741935,12.605042016806722,28.448275862068964,29.838709677419356,31.08108108108108
13,2000,,28.45528455284553,37.903225806451616,8.064516129032258,29.032258064516128,34.146341463414636,38.05309734513274,26.08695652173913,33.87096774193548,30.89430894308943,33.333333333333336,33.87096774193548,29.032258064516128,31.70731707317073,,17.88617886178862,25.806451612903224,41.935483870967744,25.40983606557377,35.57692307692308,34.146341463414636,40.19607843137255
14,2001,,31.9672131147541,27.272727272727273,18.548387096774192,28.225806451612904,55.26315789473684,44.339622641509436,34.69387755102041,26.612903225806452,33.87096774193548,33.05084745762712,33.87096774193548,37.096774193548384,32.25806451612903,47.69230769230769,10.483870967741936,29.032258064516128,39.516129032258064,27.419354838709676,,16.129032258064516,44.73684210526316
15,2002,,52.03252032520325,35.77235772357724,8.064516129032258,25.203252032520325,65.27777777777777,35.3448275862069,29.20353982300885,39.516129032258064,50.0,33.05785123966942,29.032258064516128,42.74193548387097,27.868852459016395,52.7027027027027,20.967741935483872,33.064516129032256,45.16129032258065,26.016260162601625,37.704918032786885,38.70967741935484,50.0
16,2003,,53.153153153153156,26.050420168067227,14.516129032258064,25.0,55.0,44.85981308411215,47.45762711864407,39.516129032258064,42.74193548387097,16.666666666666668,29.838709677419356,37.096774193548384,39.02439024390244,38.888888888888886,9.75609756097561,21.774193548387096,27.419354838709676,13.821138211382113,24.786324786324787,45.90163934426229,35.714285714285715
17,2004,50.0,55.833333333333336,26.666666666666668,6.451612903225806,25.0,46.73913043478261,32.743362831858406,41.52542372881356,36.29032258064516,48.38709677419355,28.571428571428573,16.93548387096774,33.064516129032256,33.60655737704918,26.666666666666668,23.387096774193548,14.516129032258064,33.87096774193548,32.773109243697476,38.65546218487395,21.774193548387096,30.48780487804878
18,2005,48.36065573770492,66.93548387096774,33.60655737704918,16.129032258064516,25.806451612903224,51.666666666666664,48.19277108433735,37.77777777777778,18.548387096774192,34.67741935483871,26.612903225806452,30.08130081300813,29.032258064516128,30.08130081300813,,19.35483870967742,16.129032258064516,27.419354838709676,20.161290322580644,23.80952380952381,26.612903225806452,35.08771929824562
19,2006,43.80165289256198,43.08943089430894,33.87096774193548,2.4193548387096775,12.195121951219512,44.285714285714285,17.821782178217823,20.192307692307693,46.774193548387096,35.483870967741936,24.59016393442623,11.290322580645162,28.225806451612904,17.073170731707318,28.333333333333332,19.35483870967742,29.032258064516128,29.032258064516128,18.548387096774192,26.612903225806452,29.032258064516128,21.311475409836067
20,2007,38.52459016393443,51.63934426229508,32.520325203252035,20.967741935483872,11.290322580645162,35.08771929824562,14.516129032258064,13.131313131313131,29.032258064516128,41.935483870967744,17.741935483870968,7.258064516129032,23.387096774193548,21.951219512195124,15.789473684210526,19.35483870967742,27.419354838709676,35.483870967741936,17.741935483870968,28.45528455284553,30.64516129032258,17.073170731707318
21,2008,40.0,52.84552845528455,33.87096774193548,18.548387096774192,8.130081300813009,12.5,10.0,12.096774193548388,39.516129032258064,35.77235772357724,15.447154471544716,7.258064516129032,31.70731707317073,12.096774193548388,10.185185185185185,12.096774193548388,25.806451612903224,42.74193548387097,16.129032258064516,30.64516129032258,17.073170731707318,19.166666666666668
22,2009,42.016806722689076,45.96774193548387,35.483870967741936,9.67741935483871,12.903225806451612,17.894736842105264,20.833333333333332,15.32258064516129,50.40650406504065,35.483870967741936,20.967741935483872,16.129032258064516,28.225806451612904,14.516129032258064,16.666666666666668,20.161290322580644,23.387096774193548,31.70731707317073,18.548387096774192,21.774193548387096,54.03225806451613,24.786324786324787
23,2010,30.327868852459016,46.34146341463415,27.419354838709676,14.049586776859504,37.1900826446281,48.888888888888886,44.53781512605042,45.96774193548387,40.32258064516129,30.64516129032258,21.13821138211382,37.096774193548384,22.580645161290324,45.90163934426229,39.516129032258064,21.774193548387096,16.93548387096774,33.064516129032256,21.774193548387096,24.390243902439025,29.032258064516128,34.82142857142857
24,2011,40.16393442622951,37.903225806451616,30.64516129032258,16.93548387096774,22.764227642276424,39.743589743589745,29.032258064516128,31.451612903225808,27.419354838709676,34.67741935483871,26.612903225806452,27.419354838709676,26.612903225806452,28.225806451612904,26.612903225806452,13.709677419354838,27.419354838709676,37.096774193548384,16.260162601626018,28.571428571428573,30.64516129032258,29.032258064516128
25,2012,63.30275229357798,62.60162601626016,36.29032258064516,15.32258064516129,18.548387096774192,23.80952380952381,17.741935483870968,18.548387096774192,26.612903225806452,20.161290322580644,16.93548387096774,13.709677419354838,37.096774193548384,16.260162601626018,14.87603305785124,21.774193548387096,26.612903225806452,39.02439024390244,25.806451612903224,41.12903225806452,35.483870967741936,19.35483870967742
26,2013,44.71544715447155,48.36065573770492,37.903225806451616,11.382113821138212,21.774193548387096,36.04651162790697,18.0327868852459,25.0,25.0,50.413223140495866,25.0,19.35483870967742,30.08130081300813,24.193548387096776,26.016260162601625,13.709677419354838,36.29032258064516,58.53658536585366,16.129032258064516,32.25806451612903,37.39837398373984,30.89430894308943
27,2014,39.66942148760331,68.69565217391305,25.806451612903224,8.064516129032258,15.32258064516129,23.25581395348837,14.516129032258064,16.93548387096774,24.193548387096776,36.29032258064516,11.290322580645162,9.836065573770492,28.225806451612904,16.93548387096774,21.311475409836067,7.317073170731708,16.129032258064516,22.764227642276424,8.064516129032258,28.225806451612904,15.32258064516129,20.833333333333332
28,2015,37.096774193548384,40.16393442622951,46.774193548387096,12.903225806451612,11.290322580645162,23.076923076923077,11.475409836065573,16.52892561983471,33.064516129032256,26.016260162601625,18.852459016393443,8.19672131147541,39.66942148760331,17.5,13.114754098360656,14.516129032258064,17.88617886178862,30.64516129032258,11.382113821138212,39.34426229508197,52.41935483870968,23.728813559322035
29,2016,41.12903225806452,61.29032258064516,19.35483870967742,5.645161290322581,12.096774193548388,28.205128205128204,17.073170731707318,16.52892561983471,33.064516129032256,14.516129032258064,12.096774193548388,13.445378151260504,18.548387096774192,20.491803278688526,26.612903225806452,17.073170731707318,4.878048780487805,4.838709677419355,18.548387096774192,51.260504201680675,40.65040650406504,25.0
