	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	0.05755636883655417	0.07004857095011528	0.7130064395133102	-0.06229873734310902
1	CYAZ	0.4512898861666089	0.24543692152914706	0.2969417636218534	0.08302796884525843
2	KACV	-0.24676420050693973	-0.2825602025648413	0.13030339608051883	-0.32120842556558427
3	PAHO	0.06686116524286707	0.08875695045062638	0.6409239993168397	-0.014606382560913171
4	KLGB	-0.16876310866688154	-0.22060904605944553	0.2414042238173635	-0.0791666524440336
5	KNUC	-0.0126168790918728	-0.005761308222038646	0.9818988538995996	-0.2558185089348347
6	KNTD	-0.057942094328651265	-0.0511010554221888	0.788565340440868	-0.31586862940725674
7	KNZY	0.07207392231855149	0.07849055702500302	0.6801342025117458	-0.06251440007741121
8	PACD	0.21837334794182905	0.24792026007860263	0.23212432533803123	0.069007909479785
9	PANT	0.011952316918350588	0.012513872270188443	0.9559225610661826	0.07235861970150068
10	KMRY	-0.3860150142150284	-0.47902843447778465	0.0085622678281791	-0.24391537678743658
11	KLAX	-0.0828830547701111	-0.09553512457655249	0.61553796430143	-0.13525148307181423
12	KAST	0.09330660710572976	0.08572011746491826	0.6524300781993808	-0.17882557842913668
13	KSAN	0.13493754807885602	0.15015487810002923	0.4283657406205319	-0.050549659473355255
14	KNSI	-0.37330251885122756	-0.39581200394472094	0.04098297746316023	-0.22706790087301287
15	KSFO	-0.13383762918428926	-0.15121434866345265	0.4250767714731475	0.14921897823393115
16	KSIT	0.17036580528564524	0.1340525522136931	0.5520074313603887	-0.12645096887336774
17	PYAK	-0.22157394915397127	-0.1578511226283844	0.40479386632785774	-0.22325990346527042
18	KOAK	-0.08131169489170016	-0.10941023468245327	0.5649307817107689	0.05118190995814639
19	KOTH	0.12215527048863808	0.12867939450819046	0.49797226387003635	-0.020881366093833197
20	PADQ	0.12282922299019754	0.09048376082661092	0.6344173637239388	0.022057643466215342
21	KVBG	-0.041301941943515774	-0.030649113222310367	0.8922980181988599	-0.043671110430994295
