	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.10182097439958009	-0.2035740388552598	0.10664913535651316	-0.37345905406443597
1	CYAZ	-0.061157908991075094	-0.16438169436242878	0.19795849029999732	-0.3422013516060821
2	KACV	-0.09065234233489255	-0.17574115339207058	0.13695711254326615	-0.18176554576477116
3	PAHO	-0.01909127990710026	-0.20794281430465572	0.07750470168958506	-0.048742216204890255
4	KLGB	-0.05845650275614824	-0.2657707693538326	0.023050801316742326	-0.08907426888563687
5	KNUC	0.19613865959847926	0.2866925402776039	0.029118252841021416	-0.15310839229105694
6	KNTD	0.07360595174119967	0.15629884706761565	0.1866677878266625	-0.02726402751254672
7	KNZY	0.012198173856207558	0.031201904844609923	0.7932815760179137	0.03140128863928033
8	PACD	-0.12092211948258023	-0.19889930004227246	0.10661646235719274	-0.315642455563693
9	PANT	-0.08782940317164366	-0.2683677207987212	0.034946194733554994	-0.1254151583693289
10	KMRY	-0.07729568398809412	-0.22472170949892661	0.05772168552383716	-0.22302926764629938
11	KLAX	-0.058067406869306976	-0.18209440603350352	0.12310167650375298	-0.11491460630981781
12	KAST	-0.1741325573819124	-0.46395568782828794	3.561546233942764e-05	-0.36638366426415675
13	KSAN	-0.02287860961206257	-0.07559845138810257	0.5249877813773911	-0.023699277750210707
14	KNSI	0.1052420198357001	0.24797841417090213	0.05608405350559314	-0.14535330446783754
15	KSFO	-0.05757350904993242	-0.29583535737712785	0.011048916031699349	-0.2849035782711906
16	KSIT	-0.1073266479172286	-0.34235018139235734	0.005622318678499497	-0.019255119398765893
17	PYAK	-0.26564737190988214	-0.5030238254591461	5.745028908654609e-06	-0.2355089387267041
18	KOAK	-0.00522741259263712	-0.024679860591793754	0.8358092507936709	-0.21376148575489687
19	KOTH	-0.0637763089389206	-0.19412270161206382	0.10227111472595711	-0.17267061981435172
20	PADQ	-0.11261197367498679	-0.22397923318731702	0.0567894335196613	-0.10089061377004661
21	KVBG	0.09755613579837547	0.1770351162089771	0.15830965056177512	-0.3666461945936883
