	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.0948512499938718	-0.19615824667853174	0.12031048526846494	-0.26288180830061725
1	CYAZ	0.010221493649922548	0.032238021356468666	0.8019513307280796	-0.15025385354456894
2	KACV	-0.014025436456937473	-0.03015855822748866	0.8000479730726304	-0.1724984311555206
3	PAHO	-0.02551898239463368	-0.22641978101889504	0.054074658641819	-0.1842572427887853
4	KLGB	-0.07421333201934645	-0.360840904308941	0.0017115327397157513	-0.2709074273215825
5	KNUC	-0.12541053422725273	-0.19461062366461304	0.13967253664612103	-0.22067785642736928
6	KNTD	-0.07819799571999381	-0.16028128755190577	0.17555030175851838	-0.0760908499497102
7	KNZY	-0.04523239273091214	-0.12390137646046971	0.2963128126615894	-0.1955060705991411
8	PACD	-0.16192849490491967	-0.35507094132273587	0.0031941488906486234	-0.12068404219579053
9	PANT	-0.012478766029390295	-0.04509856358935337	0.7300042939955314	-0.22786949971304993
10	KMRY	-0.08087316085560943	-0.274613129112458	0.019571522938064988	-0.3474508729509253
11	KLAX	-0.07779064974768345	-0.22882659964027824	0.051502146556588954	-0.2507719142154991
12	KAST	-0.04282615358451133	-0.17584252099127862	0.1367271734008113	-0.23665039078717462
13	KSAN	-0.03474542176562333	-0.14055136808854543	0.23560539809324407	-0.20048002609220536
14	KNSI	-0.03422136880032115	-0.07220911841968745	0.5934891987724574	-0.12257675534155606
15	KSFO	-0.026824715851133947	-0.14691980974234514	0.21484185953211146	-0.29530708114376314
16	KSIT	0.0214821817537977	0.09547774063887082	0.4566596293444243	0.02686179142200245
17	PYAK	-0.22595905013225906	-0.5126336563274093	3.5402483482278367e-06	-0.20738999795519095
18	KOAK	0.019301264370972453	0.10376641289735226	0.38231428736521966	-0.0591001279616022
19	KOTH	-0.047028958601801465	-0.16374120830958308	0.17242690547250275	-0.09874407484382731
20	PADQ	-0.1562521333420285	-0.3393229488185	0.0033161378174304266	-0.242500323585133
21	KVBG	-0.02577431847113999	-0.05383779015497007	0.6701506683238523	-0.37080553831591745
