	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.27259684625395714	-0.5738616499523349	7.150361110717507e-07	-0.09428280014965765
1	CYAZ	-0.09012157052932615	-0.19860171840345361	0.1186715779752783	-0.000919756395093967
2	KACV	-0.09954382512987373	-0.2654327773504283	0.023232284789988542	-0.12023880828478026
3	PAHO	-0.2883629805640094	-0.7230604576993745	5.054373810258446e-13	-0.24272081824020328
4	KLGB	-0.19766005149137508	-0.5362354629919569	1.0105389852950349e-06	-0.3786315925020016
5	KNUC	-0.10342071156116611	-0.19179856629898007	0.14559714643766053	-0.31289530891840706
6	KNTD	-0.17779621817731409	-0.3725597567649114	0.0011707352511459445	-0.223083270518773
7	KNZY	-0.09487178131784975	-0.2579608935805383	0.02756549757922326	-0.27898709543091654
8	PACD	-0.4575124392991257	-0.7417602127669469	6.938615589374282e-13	-0.3102665284032497
9	PANT	-0.2513627600201435	-0.5772670144820131	1.1147814198593869e-06	-0.3434171744677073
10	KMRY	-0.14509667930184572	-0.36235600813409913	0.0017604934492193656	-0.3270049684158614
11	KLAX	-0.13646740151966527	-0.36704761888586673	0.0014021611810879132	-0.3183789018255731
12	KAST	-0.2229619649862826	-0.5751895122822189	1.0230615873341328e-07	-0.22559524140156578
13	KSAN	-0.05870145675370233	-0.14727384222411077	0.21372672653608057	-0.3348611641108685
14	KNSI	-0.11221832538263797	-0.23951283209609192	0.07820285781887311	-0.2789413661501253
15	KSFO	-0.10019637148840695	-0.338952136029107	0.003352823573934201	-0.0952335503585349
16	KSIT	-0.22962069316199188	-0.45615033058364834	0.0001718240550593518	-0.06919063882893849
17	PYAK	-0.3188503899073496	-0.5838959799613566	5.882597531567268e-08	-0.24197733834647117
18	KOAK	-0.04119106941476952	-0.15210657647373227	0.19891176912468383	0.060523207165644535
19	KOTH	-0.09726254556195907	-0.26335686244941814	0.027610813674428764	-0.0438287876951161
20	PADQ	-0.18793026506480945	-0.3542048900603268	0.002109062210972212	-0.03373910979301839
21	KVBG	-0.07725581562340353	-0.16138436779292434	0.23915438766920602	-0.30113841692921867
