	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.22209766518996554	-0.5826418656681984	4.39418546332529e-07	-0.010473364385667486
1	CYAZ	-0.0771327794229718	-0.2086103936122916	0.1008507289286142	-0.18651706689639458
2	KACV	-0.09545528728497128	-0.3037793628165531	0.008508027052667311	0.1086471650696845
3	PAHO	-0.23521441758917552	-0.7316161141229913	1.3243855595250267e-13	-0.17166557442309074
4	KLGB	-0.15561158422466478	-0.5233516716201153	1.7159972241981903e-06	-0.015127765350547776
5	KNUC	-0.05971679884856259	-0.15467853652580765	0.24631498048639516	-0.24453762210351893
6	KNTD	-0.0849470866124383	-0.23692421557105378	0.042109382815860796	0.07183255948154903
7	KNZY	-0.05300345561006745	-0.17644652692372004	0.13262367141628936	0.0957174693575039
8	PACD	-0.37465615319131584	-0.6885638508293519	8.610128293208301e-11	-0.06789414299709638
9	PANT	-0.24831259711685724	-0.5946961032778346	4.3323947874002076e-07	-0.3484102748532641
10	KMRY	-0.13201956392183878	-0.3625547601829883	0.0016204897592008145	0.17430571842513554
11	KLAX	-0.09249011750404229	-0.29408375839657036	0.010982874705581874	0.16458850834106326
12	KAST	-0.21612023846752632	-0.6120600559910531	6.869201042586083e-09	-0.18031396493720608
13	KSAN	-0.027033358806723702	-0.08514514278433649	0.4707324046459862	0.12601711254971745
14	KNSI	-0.04182486272448295	-0.10050529238639846	0.4611110874804454	0.15467264410442233
15	KSFO	-0.10817462769630341	-0.43344266167513035	0.00011450007233286626	-0.039232467327762206
16	KSIT	-0.27144230670476305	-0.5525341053740174	2.2037954562352994e-06	-0.2811506042246248
17	PYAK	-0.32641514790893916	-0.6244115321650046	3.568099668781211e-09	-0.25527459487836496
18	KOAK	-0.06487245308124762	-0.2559330352648517	0.028852906935452328	-0.07346788090180782
19	KOTH	-0.08143933122439083	-0.2831935373970025	0.01670722543377711	0.026637430536837713
20	PADQ	-0.1659493370594152	-0.3780802755161293	0.0008963280750195127	0.04994071774803324
21	KVBG	-0.07897820203845018	-0.19582137322588114	0.15191291613989927	-0.3952993914316699
