	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.14798656977036254	-0.13914599968895539	0.46335797589749905	0.09090051046550236
1	CYAZ	0.1644952836461943	0.11867449947334179	0.5896688818895239	0.18546109410019526
2	KACV	0.06518513625552431	0.04178571796274755	0.8264628729913291	-0.02394642116582268
3	PAHO	0.007934129456699282	0.011782449004970164	0.9507261350437219	0.26018713514996844
4	KLGB	0.22161182310032995	0.2423444389062594	0.19694356597964613	-0.1509911159763449
5	KNUC	0.11066993264008548	0.045914150534689294	0.8392193499392064	-0.2915118219180455
6	KNTD	0.4558148449238642	0.29523471636957993	0.11321784164087755	-0.25560795220530197
7	KNZY	0.3977823192953841	0.3490605147895912	0.05867761976963386	-0.06751181523981524
8	PACD	-0.04663059294979107	-0.031140764196505584	0.882526025021978	-0.1739614923402584
9	PANT	0.1987064919096312	0.2162487062893444	0.33374785735699786	0.27711845904237503
10	KMRY	-0.0006570411439163155	-0.0004494278446172932	0.9981538744765611	-0.34050048500620966
11	KLAX	0.23834208242048444	0.1968246666355316	0.29718625359620265	-0.18437385126390327
12	KAST	0.0010833666005819738	0.0011049459401005705	0.9953763920290519	-0.1279133786627407
13	KSAN	0.4499770289660835	0.4025048929365304	0.02744320201638161	-0.1350602182245434
14	KNSI	0.16448853894275467	0.11273197548826668	0.5604066883873117	-0.43774939256355316
15	KSFO	0.019477102980648017	0.023802256288116524	0.9006437814687226	-0.04146716595435811
16	KSIT	0.3401832280410322	0.2787367716677182	0.20906067382647509	-0.002259025051464785
17	PYAK	0.26721256824965406	0.17034281582516128	0.36813964493775775	0.1369536248338343
18	KOAK	0.06931122601747287	0.06513181921792509	0.7323911219466769	-0.06830402492738792
19	KOTH	0.1457594448106244	0.18950291398427194	0.3158744025717577	0.05084542903739696
20	PADQ	-0.0723405224988582	-0.05203254629929951	0.7848001453993119	0.2654231425409981
21	KVBG	-0.10410093918339763	-0.05224279993732546	0.8041267453382144	-0.28143416638077523
