	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	0.11679398176431724	0.17782215361066944	0.34716197030161877	0.08984252868454855
1	CYAZ	-0.20584725387883568	-0.16199356388853542	0.44949696887569535	0.07531646295375904
2	KACV	-0.11320144265378287	-0.08488979354843772	0.6555898448288608	-0.08856231360018117
3	PAHO	-0.06452849023531596	-0.07411481152472066	0.697105689777808	-0.12769194046750354
4	KLGB	-0.20604242430743636	-0.18512330046387265	0.32739374255966713	-0.2754301837823541
5	KNUC	0.10601143279118498	0.055310828245524565	0.8068637112281157	-0.45411211161339327
6	KNTD	0.3884566883168304	0.2558119481545507	0.17243152747924734	-0.25851228065580845
7	KNZY	0.25616703475196145	0.201727723277582	0.28507094488727175	-0.08576255189472669
8	PACD	-0.43705169579983516	-0.3831006304409279	0.06462665060858941	-0.43206743438342476
9	PANT	-0.05328887071448105	-0.08567729291959071	0.7119329610311471	0.08434220566009484
10	KMRY	-0.0150389722078366	-0.014226315665240739	0.9416114184348231	-0.3934225928864233
11	KLAX	0.18973931156490811	0.1721653295295892	0.3629605316991049	-0.19336774727444794
12	KAST	-0.11157117459925607	-0.11248942239170595	0.5539623488262002	0.1607442490271264
13	KSAN	0.24300917219704932	0.21608782137367172	0.2514296224256554	-0.14796218737044795
14	KNSI	-0.0227359358685601	-0.014385342266754312	0.9432267109881945	-0.2916299412855601
15	KSFO	-0.19735484161064876	-0.2279240119812193	0.2257542956187586	-0.14072831977779485
16	KSIT	0.5582148357708314	0.5374806875419876	0.014523349380125916	-0.0006424989509424653
17	PYAK	0.13125882726508908	0.09577043221773326	0.614664220173452	0.09916821802119234
18	KOAK	0.017136145821256745	0.022396904729594463	0.9064837830907179	-0.0027826771769595684
19	KOTH	-0.16636469685520097	-0.15637303520521742	0.4092630718345601	-0.007280245392330348
20	PADQ	0.020377145304471767	0.012620955732395672	0.9472242017402273	-0.06656666633942217
21	KVBG	0.2410075549382781	0.1471483501017373	0.47317025325127915	-0.3471260387287199
