	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.03034699910606843	-0.05752873087903919	0.7626833493832716	0.4024155386866938
1	CYAZ	-0.22933556546123865	-0.1793976776780311	0.38053610960211004	-0.2518937922494302
2	KACV	0.11116419102997313	0.0810997689211217	0.6700860676306164	-0.17321727896537284
3	PAHO	-0.1573743239306821	-0.2513632629593231	0.18027694973595332	-0.3303253937893471
4	KLGB	-0.290795252940139	-0.2386928719953124	0.20398546871174647	-0.14887528628521174
5	KNUC	-0.7903837263840796	-0.42497266828405844	0.038443618069345015	-0.06405712362934025
6	KNTD	0.038040949079350524	0.025567608504114832	0.8933150150273104	-0.13378860876264537
7	KNZY	-0.18402022167268253	-0.1356113041401536	0.4749036587724076	-0.14219029196666919
8	PACD	-0.23946358117903677	-0.23084074219444248	0.2565516020704974	-0.28680154828124593
9	PANT	-0.35599002551228787	-0.32724419736515564	0.137119848607005	-0.08289410838036687
10	KMRY	-0.06043624943621628	-0.04045861301472106	0.8349341758842268	-0.15703534702960537
11	KLAX	-0.15978578235811183	-0.11385490310976827	0.5491301061385978	-0.0995708959457525
12	KAST	-0.09170640286608635	-0.07813301589355859	0.6815153410659529	-0.06523358590824349
13	KSAN	-0.18021108858573776	-0.13894429751399612	0.4640128079861786	-0.18791481480458158
14	KNSI	-0.08714983211082605	-0.052045093347407756	0.7886033941036765	-0.21082306335998452
15	KSFO	0.06798198412918953	0.06133243024978334	0.7474825693096434	-0.10702022467704388
16	KSIT	0.12864713552346793	0.11323630077657107	0.6250426772086386	-0.2601472829746378
17	PYAK	-0.028567621626287235	-0.020753271174054726	0.9133200239481701	-0.12738641594748215
18	KOAK	-0.001046102756800575	-0.000896510825816445	0.9962485747553957	-0.1598905910879862
19	KOTH	0.02039363052491158	0.01659113952720384	0.9306573146142234	0.016014790730298874
20	PADQ	-0.23307888514481834	-0.14650844961040357	0.43979186546173077	-0.11186131931901074
21	KVBG	0.07355208122700735	0.04367216616860236	0.8253568496759232	-0.3062950154996124
