	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.0553220544160854	-0.10837537665922443	0.5686390947162454	0.0563359300305266
1	CYAZ	-0.23024243737883682	-0.43712244207961665	0.015717388971092247	-0.3984175124245522
2	KACV	-0.029935579465287514	-0.06453598661942998	0.7347515158839155	-0.1545992961883955
3	PAHO	-0.11172795517461999	-0.22373754380299243	0.2346249586034457	0.09329889230057806
4	KLGB	-0.17264370051021885	-0.37871924781353605	0.0390388948583833	-0.37757663759232474
5	KNUC	-0.24044723020598074	-0.31524850778838337	0.11671610199445986	-0.39992295207886347
6	KNTD	-0.11721367496467992	-0.1705411004765361	0.3675740728845337	-0.29954147109116397
7	KNZY	-0.09811055889497086	-0.22427090079181602	0.23348205431339075	-0.3284367424590793
8	PACD	-0.7275876672226902	-0.6755055527254923	0.00015267982471579315	-0.4511696542359845
9	PANT	-0.862316228135617	-0.8498370609387558	1.083877199276903e-06	-0.33189714715011337
10	KMRY	-0.18207708071783243	-0.3817726649379938	0.040991446264151375	-0.38409001482723126
11	KLAX	-0.19379387681422225	-0.36241295138798907	0.049049441440164585	-0.3639886905613562
12	KAST	-0.09833935901057185	-0.28106146185217357	0.132442275231266	-0.2502268842112542
13	KSAN	-0.09305610924316843	-0.2114072452260279	0.26209357369102715	-0.41058622681522805
14	KNSI	-0.016474708732921717	-0.034551474645683936	0.8641529065763373	-0.3191448490001252
15	KSFO	0.024331529219887592	0.08020181940684726	0.6735379050922661	-0.06985024983191994
16	KSIT	-0.0365947725256124	-0.043813229633027945	0.854476558912411	-0.3457073764657942
17	PYAK	-0.35532497641630145	-0.3782221083118726	0.03931769305722598	-0.08661048045322108
18	KOAK	0.15965374838136978	0.3971302564455373	0.02978021089979938	0.029798757357086928
19	KOTH	0.1495012071908329	0.22900219000373515	0.23211503008592788	-0.17633317298513626
20	PADQ	-0.22280870922757698	-0.33208837085860277	0.07298781150479533	-0.310645349583905
21	KVBG	0.05411684353438969	0.10660370431604778	0.6546387450840305	-0.029110341963206613
