	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.0913688961150412	-0.06028012524371811	0.7698900336002589	-0.049689629157579886
1	CYAZ	-0.3817248205390366	-0.30045666354949685	0.10668628516947345	0.041362257074049565
2	KACV	0.08686646371927725	0.06387255560728293	0.7373824900521937	-0.1286667403572932
3	PAHO	-0.7488600178941912	-0.6726417487632125	4.6617810866465015e-05	-0.34607264696831297
4	KLGB	0.07498953674324438	0.09447991182901107	0.6194625049103507	-0.03827056088235455
5	KNUC	0.1711728240779614	0.12732261369366166	0.5268210343555034	-0.26808263406332933
6	KNTD	0.20163485741365392	0.16221557820290572	0.3917594470028727	0.06554576431016253
7	KNZY	-0.0020083006513146695	-0.002156088393449252	0.990978056893174	-0.12036374046743556
8	PACD	-1.1133657417888425	-0.6619775525680247	6.770719911319512e-05	-0.38234195449286423
9	PANT	-0.9930258081119047	-0.6595588109980987	0.0001823275021223461	-0.14620681777615208
10	KMRY	-0.2825822860255129	-0.34187976328583264	0.06948780506610544	-0.3175414570916168
11	KLAX	0.032764436602792185	0.03244694506087656	0.8648432448415762	-0.025334711031630028
12	KAST	-0.44518820070524934	-0.35223541663061875	0.056263959040123095	-0.24074094589257353
13	KSAN	-0.1758968341060314	-0.1701391614361579	0.36872106594730847	-0.2083738985750219
14	KNSI	0.3466860057890534	0.281775222137189	0.14631822148697424	-0.0946383747175785
15	KSFO	0.013043666965944098	0.014252089110293301	0.9404147662718474	-0.1106465023438319
16	KSIT	-1.3886015719229692	-0.7176027346082091	3.6832408530564035e-05	-0.25833699438324687
17	PYAK	-0.8571748659080921	-0.543040248676182	0.0019296210352931205	-0.26317621795985263
18	KOAK	0.19152268583549176	0.2310306380765187	0.21931986426160655	-0.0525912398409197
19	KOTH	-0.008132559709596367	-0.0071473542169683225	0.9700986053196712	-0.11457668196520415
20	PADQ	0.28482529214798213	0.20073365152726588	0.28750136460663844	0.1366487382916741
21	KVBG	-0.049687204517808	-0.04762154414656267	0.837586062144527	-0.13355945807250463
