	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	0.3082609482673459	0.3818295437352207	0.08763031795708655	0.3315708284966244
1	CYAZ	-0.03004221012923732	-0.037292935354304196	0.8448839561157413	-0.24250320753376897
2	KACV	0.26467059866122555	0.23132732381299964	0.2187119495098108	-0.5441149696037945
3	PAHO	-0.13890897822014067	-0.1849625732267834	0.3278213313715509	-0.07988816555569166
4	KLGB	0.14316001775145773	0.14021217790051438	0.45990469779715293	0.12385768709147044
5	KNUC	0.27755281840803925	0.20225280541087765	0.31167552902518514	-0.1271608451804311
6	KNTD	0.21827774543754122	0.16179703589619487	0.3929988760302602	-0.14950910303274062
7	KNZY	0.03579261198776754	0.026820017715803474	0.888120885492785	0.08901928863085905
8	PACD	-0.15299029805994158	-0.198929621843101	0.29194571057439106	0.07455898897327509
9	PANT	-0.13776804763600084	-0.11082396556586366	0.5598826596689097	-0.222620750284881
10	KMRY	0.276946856472745	0.26817706584545936	0.15189998159051424	-0.4628366133569149
11	KLAX	0.09758669520656918	0.0894529938079418	0.6382981287370003	-0.05348332416234982
12	KAST	-0.13201093289884536	-0.1256687846562048	0.5081637209086625	-0.401037132680226
13	KSAN	0.045263279416595685	0.043271833345507785	0.8203888984462853	0.04823208980195278
14	KNSI	0.3860452046065316	0.21539110003211592	0.37583878018642125	0.0312835439157784
15	KSFO	-0.023699056920311566	-0.029517946596162213	0.8769474246669997	-0.4892944770910581
16	KSIT	-0.8022233852606648	-0.5215071091990915	0.0031224896880146765	0.08976276487970708
17	PYAK	-0.5118035920447414	-0.3323388404308257	0.07275864775772031	-0.036929088675935605
18	KOAK	0.0774000107956434	0.07960703278443577	0.6758279327981398	-0.4447974609354352
19	KOTH	0.09725806001912198	0.07158788583906103	0.7173506640264357	-0.5262750946334448
20	PADQ	-0.3056480239048958	-0.259104050959842	0.1667833523249681	0.0021280755230819004
21	KVBG	0.19809867393734254	0.12706407740351328	0.5034275845737948	-0.15022833076439496
