	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.5026992137212135	-0.320781499935357	0.14551312552181453	0.36571141782408534
1	CYAZ	0.09052605677604839	0.07612687886975594	0.6892834218657518	0.061114832666217755
2	KACV	-0.7830659460578351	-0.5765503129416062	0.0008536219584485083	0.29369489637219
3	PAHO	-0.7723191709828906	-0.7319451382268485	4.2935757745803856e-06	0.3251213344326323
4	KLGB	0.15018183686224712	0.19181386179459312	0.30989882678615943	0.0317167467579636
5	KNUC	0.3283364461230229	0.22792807944141036	0.26276879146985777	7.5088543746975775e-06
6	KNTD	0.28619765716422085	0.17594123511561796	0.35236849274696525	-0.08317354653471155
7	KNZY	0.28079517140975985	0.2589775191004129	0.1669979798890725	0.12298030721896418
8	PACD	-1.0043621492452177	-0.6026455935301765	0.00042465605280992417	0.44055447652596363
9	PANT	-0.4697960764559615	-0.42532783671515956	0.019122368018628884	0.1385654682001777
10	KMRY	0.030825783465636403	0.034030875742619725	0.8583098908385888	-0.14963475795861156
11	KLAX	0.06937291458486275	0.06632429024929024	0.7276743411992792	0.034338182787756126
12	KAST	-0.14197862106116063	-0.12377074368368696	0.5146416415152133	0.25623244682306506
13	KSAN	0.161201278856282	0.16032755237341256	0.3973682043264226	-0.04178860074787131
14	KNSI	0.5357338211812208	0.3555939240218554	0.09587189592504042	-0.1671841805163534
15	KSFO	-0.1475946714454248	-0.17510349608999623	0.35470237004176763	0.07106532938930173
16	KSIT	-1.3844764832361114	-0.7855038439089563	2.7243968769862256e-07	0.3225952499419133
17	PYAK	-1.308401183648263	-0.6954868684333984	1.988197040936157e-05	0.21205793220005914
18	KOAK	0.03712143963204773	0.03991403110609035	0.834126683262746	-0.02216016355421969
19	KOTH	-0.2510992367782673	-0.20729745095283147	0.28058721310729656	0.2536022932852588
20	PADQ	-0.2747760999766782	-0.26929929342856607	0.1501278026438752	0.32705985114646624
21	KVBG	0.1969364348333858	0.13269533046735532	0.4925885045835394	-0.16784637373413536
