	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.19438664492198862	-0.34254092708714723	0.12850673179223412	0.29473668945510195
1	CYAZ	-0.04552127595700274	-0.06709129696485883	0.7246456040479214	-0.11793758621528681
2	KACV	-0.11972769737195872	-0.17567799311576016	0.35310087297150816	-0.34523941726257296
3	PAHO	-0.40353430528533346	-0.6952299970881346	2.0081964983961905e-05	0.17292545202167486
4	KLGB	0.022711697865060183	0.055804092838618	0.7696045358223462	-0.027975505695736314
5	KNUC	0.3219397582784988	0.4605940905423845	0.020501607982527047	-0.20056443185628423
6	KNTD	0.03499925163972655	0.05269391656807941	0.7821296911466675	-0.05555843916442785
7	KNZY	-0.028720678178632577	-0.048727056404712914	0.7981822751096647	0.05108998337894092
8	PACD	-0.3703055535671372	-0.438353208857769	0.015393151251866844	-0.03345683852791406
9	PANT	-0.16380864365024772	-0.2340122525000301	0.21326248269384288	-0.3240348440032322
10	KMRY	-0.009722113518209806	-0.01590837253048361	0.933504551291765	-0.32442538244041524
11	KLAX	0.01509699506238952	0.03078324111408405	0.8717150547684505	-0.3168899169780441
12	KAST	-0.3101584777506044	-0.4278625541556884	0.018343444246270216	-0.260013220269024
13	KSAN	0.001436923294448028	0.0029561933374829593	0.9878572057480658	-0.045160791258664346
14	KNSI	0.27974741641917067	0.427124342242085	0.08726689266491124	-0.12390345236229044
15	KSFO	-0.07264344014841419	-0.1432532305281927	0.45013018720596043	-0.29210107147315983
16	KSIT	-0.9386856944243652	-0.7647600627696647	8.628780826577992e-07	-0.012224378978910197
17	PYAK	-0.9525624168895402	-0.7501749036806545	1.8143782035835896e-06	0.024065393402687225
18	KOAK	-0.012931165797176125	-0.02246245215604239	0.9062112891580925	-0.22922509158620688
19	KOTH	-0.20325302932676884	-0.23416545771752723	0.24957266315588966	-0.18077488005843556
20	PADQ	-0.37046126360231907	-0.47256357095870144	0.008364777845440138	0.15825884028997195
21	KVBG	-0.010624017155035807	-0.015540144565793576	0.936229501298818	-0.21112884185686603
