	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.4656028576214949	-0.6286572827536774	0.002988686805691917	0.6583511274803852
1	CYAZ	0.1030589962168163	0.14257794022505083	0.45229103144557914	-0.3279547619580679
2	KACV	0.1733535902310421	0.2626025146103143	0.16092653117733963	-0.49673009797265694
3	PAHO	-0.07053526902738624	-0.2733183338882733	0.14390334439544797	-0.23536014739268565
4	KLGB	0.0033094460905838782	0.010899897471617548	0.9544129874642374	-0.04727905117848004
5	KNUC	0.02499867814776539	0.031685440181091026	0.872834352679073	-0.20352094517746194
6	KNTD	-0.009699819770056056	-0.016219714927507605	0.9322061068353279	-0.2255221003931696
7	KNZY	0.028353195203359723	0.05081231094486669	0.7897334322802367	-0.14817331580283172
8	PACD	-0.04233460115869588	-0.05993720194251352	0.753047901801719	-0.34753243835153647
9	PANT	0.18333817284668805	0.26739047317502196	0.16894912826083494	-0.5854066492563557
10	KMRY	0.06699918607698455	0.13624049578429334	0.4728376223291241	-0.6107440953771243
11	KLAX	0.01344866646666678	0.03300179843380154	0.8625535843496333	-0.36699026615063823
12	KAST	0.1245793868584461	0.19957976571287606	0.2903390375120155	-0.5114831106634118
13	KSAN	0.11062271359490518	0.22372104360084366	0.2433556436571933	-0.21683689702137182
14	KNSI	0.009408469526595358	0.016817413918806597	0.9525646452036998	-0.16109356261538094
15	KSFO	0.002432622435666624	0.0066693400066484285	0.9720976086420166	-0.33059106868597904
16	KSIT	-0.11059847252165847	-0.17759663112904875	0.3477837795760065	-0.06714319613756826
17	PYAK	0.25261060531042046	0.36491221193740964	0.04739523458316124	-0.46068996308615084
18	KOAK	-0.06386601964022307	-0.17641578363020793	0.35105052281152616	-0.1965345849163694
19	KOTH	-0.05558421847479092	-0.07998602080988106	0.6977088922561588	-0.24641841635965958
20	PADQ	-0.027845424152759125	-0.03843642788260106	0.8401874533503139	-0.2524721724063371
21	KVBG	0.1980660496238669	0.35366066580202715	0.05520616948837702	-0.48620910343714363
