	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	0.08657049022540834	0.1490461300881135	0.5305581608039937	-0.27266778861444196
1	CYAZ	-0.010217661007541193	-0.02218265918351789	0.9073745176714545	-0.34658147766780173
2	KACV	0.3097121271773638	0.4420516467910096	0.01445211184888935	-0.5377738334188097
3	PAHO	-0.009202874572985551	-0.06490389075345963	0.7332937804834093	-0.20192061939708242
4	KLGB	-0.003188793218479354	-0.015199477580649759	0.9364615959835135	-0.3722127900761948
5	KNUC	-0.05056275286282218	-0.05502957332316228	0.7809172952455962	-0.34960497876154856
6	KNTD	-0.07927813761657969	-0.13195420745584271	0.4870043965800982	-0.2780163960006627
7	KNZY	-0.0429147313702145	-0.07797408687720998	0.6821295892063968	-0.37091962097338343
8	PACD	0.11368620606415554	0.1417497875929197	0.4549485620467665	-0.2871104977183941
9	PANT	0.2342152075282735	0.5624992209518803	0.0018348500373062027	-0.2979446094865076
10	KMRY	0.0399754875287172	0.09045185016942442	0.6345373633898936	-0.788188611504819
11	KLAX	0.010627885607553381	0.024403747433342327	0.8981457930663285	-0.5405493930327606
12	KAST	0.03542098472806329	0.09442233563086279	0.6196769384582657	-0.4570301432885325
13	KSAN	-0.05491651199891669	-0.14941311476328248	0.4391798106868874	-0.36906211686966367
14	KNSI	-0.03743624594326055	-0.06616804538576868	0.8147590179629051	-0.3304993331936462
15	KSFO	0.005870449371581618	0.027487925041934803	0.885352708519771	-0.7006187763409248
16	KSIT	0.03064619067299623	0.11469193808729324	0.5461777110020478	0.10630463111212864
17	PYAK	0.34013535397047073	0.6730165045272705	4.599789370024009e-05	-0.39179010255857827
18	KOAK	0.011484779310647151	0.0418894166091431	0.8260387182382128	-0.7063447747560576
19	KOTH	0.0388614536729811	0.07638744356173612	0.7107212407534367	-0.2265510852796944
20	PADQ	0.11820843815727416	0.23326189587175547	0.2147760258025913	-0.1328448257530126
21	KVBG	0.29239972795943214	0.43222044255500636	0.017065648315677764	-0.6808933615550807
