"PADK" "PACD" "PADQ" "PAHO" "PYAK" "PSIT" "PANT" "CYAZ" "KAST" "KOTH" "KACV" "KOAK" "KSFO" "KMRY" "KVBG" "KNTD" "KLAX" "KLGB" "KSAN" "KNZY"
"May_1950" 87.9032258064516 80.6451612903226 64.5161290322581 8.06451612903226 73.3870967741936 21.7741935483871 50 NA 47.1544715447154 20.3252032520325 34.1463414634146 28.2258064516129 23.3870967741935 39.5161290322581 NA 49.1935483870968 41.1290322580645 41.9354838709677 49.1935483870968 50.8064516129032
"Jun_1950" 85.8333333333333 79.1666666666667 57.5 10.8333333333333 57.5 30 40.8333333333333 NA 45.3781512605042 42.5 63.3333333333333 30 31.6666666666667 50.4201680672269 NA 42.5 36.9747899159664 38.3333333333333 47.5 44.1666666666667
"Jul_1950" 83.0645161290323 68.5483870967742 59.6774193548387 11.3821138211382 58.0645161290323 33.0645161290323 46.7741935483871 NA 45.9677419354839 24.1935483870968 52.4193548387097 21.7741935483871 10.4838709677419 44.7154471544715 NA 54.0322580645161 32.258064516129 28.4552845528455 40.3225806451613 43.801652892562
"Aug_1950" 94.3548387096774 69.3548387096774 41.9354838709677 14.5161290322581 43.5483870967742 28.2258064516129 39.5161290322581 NA 38.2113821138211 31.9672131147541 62.9032258064516 25.8064516129032 16.1290322580645 41.9354838709677 NA 54.2372881355932 36.2903225806452 29.5081967213115 38.2113821138211 45.1612903225806
"Sep_1950" 74.1666666666667 74.1666666666667 59.1666666666667 22.5 63.8655462184874 24.1666666666667 42.0168067226891 NA 34.7457627118644 42.0168067226891 44.8275862068966 25 20 30 NA 52.9411764705882 45.8333333333333 45.8333333333333 39.1666666666667 43.3333333333333
"May_1951" 85.4838709677419 70.9677419354839 65.3225806451613 12.0967741935484 63.0434782608696 37.0967741935484 41.1290322580645 NA 43.0894308943089 20.9677419354839 34.9593495934959 18.5483870967742 16.1290322580645 37.9032258064516 NA 39.344262295082 25.8064516129032 29.0322580645161 29.8387096774194 32.258064516129
"Jun_1951" 81.6666666666667 73.9495798319328 72.4137931034483 9.64912280701754 84.3478260869565 56.5217391304348 30.4761904761905 NA 50.4587155963303 42.3423423423423 56.3636363636364 37.0689655172414 36.7521367521368 72.8813559322034 NA 57.6271186440678 41.7391304347826 44.1666666666667 38.655462184874 41.1764705882353
"Jul_1951" 86.9918699186992 78.6885245901639 36.9369369369369 11.5044247787611 61.6071428571429 48.780487804878 46.9026548672566 NA 63.3333333333333 45.5284552845528 71.6666666666667 45.2991452991453 36.7521367521368 60.4838709677419 NA 31.9672131147541 22.3140495867769 25 31.9672131147541 33.0578512396694
"Aug_1951" 91.9354838709677 83.739837398374 56.5217391304348 4.62962962962963 62.6016260162602 46.6101694915254 31.25 NA 48.2758620689655 25.8928571428571 64.2276422764228 33.6134453781513 30.5785123966942 58.0645161290323 NA 41.4634146341463 30.0813008130081 31.4516129032258 29.2682926829268 34.6774193548387
"Sep_1951" 80 63.2478632478632 50.8771929824561 10.7142857142857 65.7894736842105 39.3162393162393 40.7766990291262 NA 60.9090909090909 60.1694915254237 73.9495798319328 40.8695652173913 33.3333333333333 50.8333333333333 NA 38.9830508474576 37.7358490566038 29.6610169491525 40.5172413793103 41.6666666666667
