	CYAZ	KACV	KAST	KLAX	KLGB	KMRY	KNTD	KNZY	KOAK	KOTH	KSAN	KSFO	KVBG	PACD	PADK	PADQ	PAHO	PANT	PSIT	PYAK	average
May_1950		34.1463414634146	47.1544715447154	41.1290322580645	41.9354838709677	39.5161290322581	49.1935483870968	50.8064516129032	28.2258064516129	20.3252032520325	49.1935483870968	23.3870967741935		80.6451612903226	87.9032258064516	64.5161290322581	8.06451612903226	50.0	21.7741935483871	73.3870967741936	45.07241308972229
Jun_1950		63.3333333333333	45.3781512605042	36.9747899159664	38.3333333333333	50.4201680672269	42.5	44.1666666666667	30.0	42.5	47.5	31.6666666666667		79.1666666666667	85.8333333333333	57.5	10.8333333333333	40.8333333333333	30.0	57.5	46.357765328353565
Jul_1950		52.4193548387097	45.9677419354839	32.258064516129	28.4552845528455	44.7154471544715	54.0322580645161	43.801652892562	21.7741935483871	24.1935483870968	40.3225806451613	10.4838709677419		68.5483870967742	83.0645161290323	59.6774193548387	11.3821138211382	46.7741935483871	33.0645161290323	58.0645161290323	42.1666477617411
Aug_1950		62.9032258064516	38.2113821138211	36.2903225806452	29.5081967213115	41.9354838709677	54.2372881355932	45.1612903225806	25.8064516129032	31.9672131147541	38.2113821138211	16.1290322580645		69.3548387096774	94.3548387096774	41.9354838709677	14.5161290322581	39.5161290322581	28.2258064516129	43.5483870967742	41.76738230856331
Sep_1950		44.8275862068966	34.7457627118644	45.8333333333333	45.8333333333333	30.0	52.9411764705882	43.3333333333333	25.0	42.0168067226891	39.1666666666667	20.0		74.1666666666667	74.1666666666667	59.1666666666667	22.5	42.0168067226891	24.1666666666667	63.8655462184874	43.54150102147489
May_1951		34.9593495934959	43.0894308943089	25.8064516129032	29.0322580645161	37.9032258064516	39.344262295082	32.258064516129	18.5483870967742	20.9677419354839	29.8387096774194	16.1290322580645		70.9677419354839	85.4838709677419	65.3225806451613	12.0967741935484	41.1290322580645	37.0967741935484	63.0434782608696	39.0565092336137
Jun_1951		56.3636363636364	50.4587155963303	41.7391304347826	44.1666666666667	72.8813559322034	57.6271186440678	41.1764705882353	37.0689655172414	42.3423423423423	38.655462184874	36.7521367521368		73.9495798319328	81.6666666666667	72.4137931034483	9.64912280701754	30.4761904761905	56.5217391304348	84.3478260869565	51.569828840286895
Jul_1951		71.6666666666667	63.3333333333333	22.3140495867769	25.0	60.4838709677419	31.9672131147541	33.0578512396694	45.2991452991453	45.5284552845528	31.9672131147541	36.7521367521368		78.6885245901639	86.9918699186992	36.9369369369369	11.5044247787611	46.9026548672566	48.780487804878	61.6071428571429	46.598998728520556
Aug_1951		64.2276422764228	48.2758620689655	30.0813008130081	31.4516129032258	58.0645161290323	41.4634146341463	34.6774193548387	33.6134453781513	25.8928571428571	29.2682926829268	30.5785123966942		83.739837398374	91.9354838709677	56.5217391304348	4.62962962962963	31.25	46.6101694915254	62.6016260162602	44.71574229541448
Sep_1951		73.9495798319328	60.9090909090909	37.7358490566038	29.6610169491525	50.8333333333333	38.9830508474576	41.6666666666667	40.8695652173913	60.1694915254237	40.5172413793103	33.3333333333333		63.2478632478632	80.0	50.8771929824561	10.7142857142857	40.7766990291262	39.3162393162393	65.7894736842105	47.74166516799319
May_1952		39.3162393162393	33.6633663366337	29.3103448275862	30.3571428571429	32.2033898305085	37.7049180327869	38.2608695652174	17.6991150442478	35.7798165137615	34.2105263157895	13.7931034482759		67.741935483871	83.739837398374	51.7857142857143	14.8148148148148	26.1261261261261	38.4615384615385	58.8235294117647	37.988462670577384
Jun_1952		46.551724137931	48.5981308411215	29.5652173913043	30.8333333333333	43.3333333333333	26.0504201680672	33.8983050847458	31.858407079646	37.8378378378378	32.5	31.5789473684211		66.9491525423729	89.0756302521009	42.6086956521739	16.3636363636364	39.0909090909091	41.5929203539823	59.8290598290598	41.56198114777648
Jul_1952		64.1666666666667	51.7241379310345	27.7310924369748	20.6896551724138	40.3225806451613	46.7741935483871	27.7310924369748	31.6666666666667	35.0877192982456	22.2222222222222	23.9669421487603		66.1290322580645	83.8709677419355	48.3333333333333	8.69565217391304	31.8965517241379	55.3571428571429	68.6440677966102	41.94498428103584
Aug_1952		60.0	63.8888888888889	32.1739130434783	27.7310924369748	46.7213114754098	52.4590163934426	37.8151260504202	33.0578512396694	47.8260869565217	27.2727272727273	22.5		63.1147540983607	92.741935483871	43.5483870967742	13.0841121495327	46.0176991150442	53.0434782608696	60.0	45.72202110899918
Sep_1952		60.0	38.3928571428571	20.8695652173913	17.6470588235294	27.3504273504274	25.2100840336134	20.0	16.5217391304348	38.5321100917431	17.0940170940171	13.1578947368421		69.1666666666667	73.728813559322	48.6725663716814	12.5	42.9824561403509	40.5172413793103	63.7931034482759	35.89647784369238
May_1953		32.4324324324324	44.9152542372881	14.4067796610169	21.1864406779661	31.5789473684211	8.26446280991736	20.1680672268908	16.3636363636364	37.0	22.9508196721311	28.0373831775701		70.4918032786885	86.2903225806452	59.8360655737705	11.9266055045872	36.1344537815126	36.7521367521368	50.8333333333333	34.97605246844135
Jun_1953		23.6842105263158	44.4444444444444	26.7241379310345	27.3504273504274	30.2521008403361	32.7731092436975	34.7457627118644	13.0841121495327	30.5084745762712	28.8135593220339	17.4311926605505		58.0357142857143	86.6666666666667	29.9065420560748	7.84313725490196	38.7387387387387	45.6896551724138	61.4678899082569	35.45332643551531
Jul_1953		55.0847457627119	35.4838709677419	17.2131147540984	17.0731707317073	40.1709401709402	39.6694214876033	28.9256198347107	14.2857142857143	31.1475409836066	22.9508196721311	11.6666666666667		54.6218487394958	81.1475409836066	43.6974789915966	7.84313725490196	42.3728813559322	51.2396694214876	63.6363636363636	36.568363650056476
Aug_1953		55.0	47.8991596638655	38.5245901639344	27.5	41.9354838709677	41.8032786885246	37.3983739837398	33.3333333333333	43.75	35.4838709677419	37.1900826446281		70.9677419354839	87.8048780487805	36.3636363636364	23.0769230769231	29.4117647058824	50.4065040650407	64.4628099173554	44.572912857213204
Sep_1953		59.6491228070175	28.0701754385965	40.5172413793103	24.7863247863248	50.0	34.1666666666667	33.8983050847458	32.4324324324324	27.2727272727273	30.4347826086957	27.9661016949153		60.6837606837607	76.4705882352941	30.7692307692308	11.1111111111111	37.962962962963	33.3333333333333	49.5726495726496	38.2831953799875
May_1954		41.8181818181818	36.3636363636364	56.198347107438	56.3025210084034	35.7798165137615	66.1016949152542	58.6776859504132	21.6981132075472	28.1818181818182	57.7235772357724	22.7722772277228			85.4838709677419	73.9495798319328	16.6666666666667	33.9285714285714	38.655462184874	53.6585365853659	46.11531512912364
Jun_1954		37.1681415929204	37.0689655172414	41.0714285714286	39.8305084745763	27.5229357798165	50.0	50.4273504273504	20.5607476635514	39.4495412844037	50.0	21.2962962962963			93.3333333333333	69.3693693693694	7.89473684210526	54.3103448275862	38.0530973451327	50.0	42.78569396030069
Jul_1954		57.5	39.344262295082	16.9354838709677	18.3333333333333	28.9256198347107	31.1475409836066	41.1764705882353	17.8861788617886	31.9327731092437	35.0877192982456	9.91735537190083			82.7868852459016	37.7358490566038	11.4285714285714	43.6974789915966	47.8632478632479	61.9834710743802	36.0989553651421
Aug_1954		61.1570247933884	47.5806451612903	37.1900826446281	33.6065573770492	49.1935483870968	45.0819672131148	33.8709677419355	34.7107438016529	38.4615384615385	31.9672131147541	34.7457627118644			77.3109243697479	31.25	20.1754385964912	30.3571428571429	47.008547008547	47.9338842975207	41.270705208103685
Sep_1954		29.1666666666667	26.4957264957265	23.6842105263158	22.8813559322034	29.4117647058824	27.3504273504274	26.271186440678	20.1680672268908	31.858407079646	21.6666666666667	15.2542372881356			75.2136752136752	39.0909090909091	13.7614678899083	37.0689655172414	32.4561403508772	37.6146788990826	29.96556196123136
