	Year	summer_PDO
0	1950	-2.948
1	1951	-1.166
2	1952	-1.8379999999999999
3	1953	-0.5439999999999999
4	1954	-0.34400000000000003
5	1955	-2.3920000000000003
6	1956	-1.272
7	1957	0.8560000000000001
8	1958	1.1440000000000001
9	1959	-0.23199999999999998
10	1960	-0.028000000000000025
11	1961	-0.9359999999999999
12	1962	-1.394
13	1963	-0.5799999999999998
14	1964	-1.456
15	1965	-0.20200000000000004
16	1966	-0.258
17	1967	-1.22
18	1968	0.007999999999999997
19	1969	-0.516
20	1970	-1.08
21	1971	-1.27
22	1972	-1.1580000000000001
23	1973	-1.408
24	1974	-0.12599999999999997
25	1975	-1.5379999999999998
26	1976	-0.132
27	1977	-0.246
28	1978	-0.442
29	1979	0.404
30	1980	-0.06799999999999998
31	1981	0.8620000000000001
32	1982	-0.33
33	1983	1.4060000000000001
34	1984	0.11600000000000002
35	1985	0.002000000000000013
36	1986	0.4600000000000001
37	1987	1.0859999999999999
38	1988	-0.28600000000000003
39	1989	-0.08599999999999998
40	1990	-0.314
41	1991	-1.136
42	1992	1.056
43	1993	1.686
44	1994	-0.53
45	1995	0.806
46	1996	0.6419999999999999
47	1997	1.9400000000000002
48	1998	-1.068
49	1999	-2.1220000000000003
50	2000	-1.218
51	2001	-1.642
52	2002	-0.658
53	2003	0.124
54	2004	0.16
55	2005	0.182
56	2006	-0.43200000000000005
57	2007	-0.16199999999999998
58	2008	-1.8299999999999996
59	2009	-0.584
60	2010	-1.524
61	2011	-1.782
62	2012	-2.348
63	2013	-1.098
64	2014	0.46799999999999997
65	2015	0.8940000000000001
66	2016	0.31800000000000006
67	2017	-0.09
68	2018	-0.33399999999999996
69	2019	0.182
70	2020	-0.9099999999999999
71	2021	-1.7299999999999998
72	2022	-2.162
