	CYAZ	KACV	KAST	KLAX	KLGB	KMRY	KNTD	KNZY	KOAK	KOTH	KSAN	KSFO	KVBG	PACD	PADK	PADQ	PAHO	PANT	PSIT	PYAK	average
May_1950		34.146341463414636	47.15447154471545	41.12903225806452	41.935483870967744	39.516129032258064	49.193548387096776	50.806451612903224	28.225806451612904	20.32520325203252	49.193548387096776	23.387096774193548		80.64516129032258	87.90322580645162	64.51612903225806	8.064516129032258	50.0	21.774193548387096	73.38709677419355	45.07241308972229
June_1950		63.333333333333336	45.378151260504204	36.97478991596638	38.333333333333336	50.42016806722689	42.5	44.166666666666664	30.0	42.5	47.5	31.666666666666668		79.16666666666667	85.83333333333333	57.5	10.833333333333334	40.833333333333336	30.0	57.5	46.357765328353565
July_1950		52.41935483870968	45.96774193548387	32.25806451612903	28.45528455284553	44.71544715447155	54.03225806451613	43.80165289256198	21.774193548387096	24.193548387096776	40.32258064516129	10.483870967741936		68.54838709677419	83.06451612903226	59.67741935483871	11.382113821138212	46.774193548387096	33.064516129032256	58.064516129032256	42.166647761741096
August_1950		62.903225806451616	38.21138211382114	36.29032258064516	29.508196721311474	41.935483870967744	54.23728813559322	45.16129032258065	25.806451612903224	31.9672131147541	38.21138211382114	16.129032258064516		69.35483870967742	94.35483870967742	41.935483870967744	14.516129032258064	39.516129032258064	28.225806451612904	43.54838709677419	41.76738230856332
September_1950		44.827586206896555	34.74576271186441	45.833333333333336	45.833333333333336	30.0	52.94117647058823	43.333333333333336	25.0	42.016806722689076	39.166666666666664	20.0		74.16666666666667	74.16666666666667	59.166666666666664	22.5	42.016806722689076	24.166666666666668	63.865546218487395	43.541501021474886
May_1951		34.959349593495936	43.08943089430894	25.806451612903224	29.032258064516128	37.903225806451616	39.34426229508197	32.25806451612903	18.548387096774192	20.967741935483872	29.838709677419356	16.129032258064516		70.96774193548387	85.48387096774194	65.3225806451613	12.096774193548388	41.12903225806452	37.096774193548384	63.04347826086956	39.05650923361371
June_1951		56.36363636363637	50.45871559633027	41.73913043478261	44.166666666666664	72.88135593220339	57.6271186440678	41.1764705882353	37.06896551724138	42.34234234234234	38.65546218487395	36.75213675213675		73.94957983193277	81.66666666666667	72.41379310344827	9.649122807017545	30.476190476190474	56.52173913043478	84.34782608695652	51.569828840286874
July_1951		71.66666666666667	63.333333333333336	22.31404958677686	25.0	60.483870967741936	31.9672131147541	33.05785123966942	45.2991452991453	45.52845528455285	31.9672131147541	36.75213675213675		78.68852459016394	86.99186991869918	36.93693693693694	11.504424778761061	46.902654867256636	48.78048780487805	61.607142857142854	46.598998728520556
August_1951		64.22764227642277	48.275862068965516	30.08130081300813	31.451612903225808	58.064516129032256	41.46341463414634	34.67741935483871	33.61344537815126	25.892857142857142	29.26829268292683	30.578512396694215		83.73983739837398	91.93548387096774	56.52173913043478	4.62962962962963	31.25	46.610169491525426	62.60162601626016	44.715742295414486
September_1951		73.94957983193277	60.90909090909091	37.735849056603776	29.661016949152543	50.833333333333336	38.983050847457626	41.666666666666664	40.869565217391305	60.16949152542373	40.51724137931034	33.333333333333336		63.24786324786325	80.0	50.87719298245614	10.714285714285714	40.77669902912621	39.31623931623932	65.78947368421052	47.74166516799319
May_1952		39.31623931623932	33.663366336633665	29.310344827586206	30.357142857142858	32.20338983050848	37.704918032786885	38.26086956521739	17.699115044247787	35.77981651376147	34.21052631578947	13.793103448275861		67.74193548387096	83.73983739837398	51.785714285714285	14.814814814814815	26.126126126126128	38.46153846153846	58.8235294117647	37.98846267057737
June_1952		46.55172413793103	48.598130841121495	29.565217391304348	30.833333333333332	43.333333333333336	26.050420168067227	33.898305084745765	31.858407079646017	37.83783783783784	32.5	31.57894736842105		66.94915254237289	89.07563025210084	42.608695652173914	16.363636363636363	39.09090909090909	41.5929203539823	59.82905982905983	41.561981147776486
July_1952		64.16666666666667	51.724137931034484	27.73109243697479	20.689655172413794	40.32258064516129	46.774193548387096	27.73109243697479	31.666666666666668	35.08771929824562	22.22222222222222	23.96694214876033		66.12903225806451	83.87096774193549	48.333333333333336	8.695652173913043	31.896551724137932	55.357142857142854	68.64406779661017	41.944984281035836
