	airports	slopes	r_val	p_val	PDO_r_val
0	KNRS	-0.07389290823010607	-0.20744676355818129	0.08719898775979183	-0.10524253835796309
1	PADK	-0.13861395798556067	-0.5529519333745843	2.157334256599242e-06	0.23081811118932555
2	CYAZ	0.042843743849842506	0.12774009688456373	0.3184263586047821	-0.4332520657577731
3	KRBL	-0.008743603289271101	-0.07394454930973864	0.6213310373493857	0.01805706875583161
4	KACV	-0.003947433902197326	-0.01567656129406179	0.8952715228429037	-0.43630415517835347
5	KOXR	0.10144110044271197	0.2786622054446928	0.024590163217694916	-0.22826443646934935
6	KUIL	-0.08544827972115769	-0.2578758108547318	0.055005470850613504	-0.2694128676603922
7	KNFG	-0.1311652717645673	-0.3825843147386603	0.006106072733258416	-0.053659380392157605
8	KFHR	-0.1612912947118601	-0.3380556965354281	0.06287796734996676	-0.15094179007370337
9	KVNY	-0.2498920027721572	-0.7256736452188544	1.7021797266000986e-08	0.26375234783187207
10	KMYF	-0.10899183924385754	-0.302793520402764	0.060975221790607624	0.30341361483251816
11	KSJC	-0.07501755096726341	-0.4113692090444179	0.001634443181047765	-0.13151749590777528
12	KLGB	-0.08200021443139979	-0.3994386796318053	0.00046380728705733027	-0.2837899038661453
13	KNUC	-0.02212399150406469	-0.058321995722560124	0.663657795665355	-0.19019362106745114
14	KLAS	-0.0035996465174027294	-0.28923536900469793	0.04383234528204129	0.19183159071259495
15	KPSP	-0.0037043128791158994	-0.154848577096622	0.28293776726078523	0.22278330690902973
16	KCEC	0.09113794925278439	0.3153100937363601	0.025719482513764238	-0.5161949909221998
17	KEDW	-0.001749684566621696	-0.16896367069947338	0.15594675690416196	0.10554154607091217
18	KNTD	-0.05910433071971743	-0.18468971074959967	0.11776036829934508	-0.31525040143098143
19	KAPC	-0.03487958445513068	-0.08752054733749222	0.6913009514112326	-0.06653259466496202
20	KNZY	-0.038140520393343556	-0.149967531579961	0.20537583324785522	-0.2103704164177693
21	KLVK	-0.04459847106762275	-0.19434218416004048	0.2117449878263285	0.06534338720244375
22	KFUL	-0.3788047869586238	-0.7493576062458122	3.8389962480877567e-10	0.17532439478364747
23	KSUU	-0.0001998835283510393	-0.002441349730968653	0.9873012241015984	-0.06669245624288839
24	KNUQ	-0.05331569903759498	-0.35220427433303053	0.004642081602071984	-0.30566486780000984
25	PSIT	-0.1810350714059835	-0.3789979300121138	0.004711021510409711	0.015298530067911697
26	PACD	-0.2914309269590232	-0.6675759550939852	2.2910006094037675e-09	-0.16357336102591916
27	PANT	-0.12515224469759104	-0.3985071071413412	0.0013366210076071999	-0.449359505292388
28	KRDD	0.020002083808127857	0.1543559739531073	0.2896174338440294	-0.07911953573423242
29	KRIV	-0.049445808274670655	-0.2810308963584603	0.020261308662126984	0.18837930121783744
30	KMRY	-0.04562291932417259	-0.17807152149270283	0.13451520005238457	-0.4036581197065341
31	KSNS	-0.010745234398278467	-0.08076537726423114	0.6603574195882314	-0.08776655424960683
32	KLAX	-0.06663032223909139	-0.28629078303943795	0.014069508390731416	-0.3801565741085062
33	KBUR	-0.34724566591279443	-0.7724891394648392	3.2104708949748e-10	0.2267701110021009
34	KAST	-0.030565503438219413	-0.12961052618078187	0.2744389750627385	-0.4131701079666747
35	KSNA	-0.30390568349801145	-0.6836856900952645	8.777596964537664e-09	0.070408119250011
36	KSAN	0.0021022230933592646	0.00877673529916356	0.9412526223584645	-0.29303194608006417
37	KSMO	-0.04363220948742119	-0.057873688932550446	0.8253822919855551	-0.1328126317052483
38	KSMX	-0.008137238370421759	-0.045139258219835054	0.7147283411276812	-0.23068721048586452
39	KFAT	0.004740225198352764	0.1515903587594463	0.2243539123364642	-0.0804166433895686
40	KCRQ	-0.18263031529047094	-0.5195164958136738	0.00011057203348221735	0.15403782729542462
41	KSBA	-0.027875878336368277	-0.10839630194422864	0.39775597133412033	-0.2042174347897558
42	KNJK	0.0005249335521443344	0.02564760157596562	0.8785197234536606	0.03540361974232276
43	KNKX	-0.06087329246916388	-0.16002667282575123	0.37368630225568045	0.07937733912697933
44	KNSI	-0.05014359033694932	-0.17207891479260404	0.18860745806728804	-0.27024155259639326
45	KHHR	-0.3216536383392886	-0.6810298103860947	5.250068825234605e-08	0.03464987619689231
46	KSFO	-0.022563609455588492	-0.1429161440676657	0.22773892838774082	-0.2008188316819349
47	PYAK	-0.20598796545047962	-0.49371760074465504	9.055755807367232e-06	-0.2629662245465457
48	KUKI	-0.038055035688528166	-0.24815839244824334	0.10432710737016158	0.21361694353058067
49	KTOA	-0.08209103134507484	-0.2131353505097587	0.1414569488412382	0.004288509059531405
50	KOAK	0.016462960298696285	0.09017253097085962	0.4480413719524746	-0.06701758207608198
51	KSEE	-0.08755810565452969	-0.2302692060736667	0.15845778659671014	-0.02548018928344085
52	KOTH	0.029980255258753495	0.119972366558109	0.3154681863444281	-0.20490413279253933
53	KAVX	-0.03544392172346845	-0.13158047868156175	0.5045002496184352	0.1685384112127219
54	PADQ	-0.16732438571861075	-0.49736979142234505	7.5867128378313014e-06	-0.26668862897993084
55	KVBG	0.007199805904410299	0.023173127843045406	0.8557745348314778	-0.33801132072022083
