	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.10495134085246201	-0.3759088189162445	0.005090316777111803	0.26767267277458906
1	CYAZ	0.05148399582833164	0.1256946258371477	0.3698178645293848	-0.4400096122073351
2	KACV	-0.027264129521444684	-0.09013596345409926	0.4823440017134759	-0.4839176715581814
3	PAHO	-0.08587696001794969	-0.38277524579766137	0.001960283056703251	-0.02762473367363997
4	KLGB	-0.09112223282738745	-0.37523024237619035	0.002443796790728843	-0.3350383449676643
5	KNTD	-0.025049799799613477	-0.06657024148761778	0.6041934106103426	-0.31755392224340534
6	KNZY	-0.022901017040017464	-0.07669444338343578	0.55021751805463	-0.1927850012151328
7	PSIT	-0.17683575796052917	-0.374144272869135	0.005782274545182732	0.009391864032739854
8	PACD	-0.2914309269590232	-0.6675759550939852	2.2910006094037675e-09	-0.16357336102591916
9	PANT	-0.14616410808228794	-0.40799507062165435	0.0021953187884086616	-0.44686211409251386
10	KMRY	-0.044067527446542916	-0.14379990929369335	0.2648308516901932	-0.5032357089526945
11	KLAX	-0.06059469770746359	-0.217602296676342	0.08668067229300898	-0.42655044452821844
12	KAST	-0.04860571664694782	-0.16897923836824127	0.18553085299609612	-0.4191280488882064
13	KSAN	0.0006556879584740602	0.002400053263961858	0.985229237742121	-0.2621855183125638
14	KSFO	-0.02500482914892857	-0.13122479338731996	0.3052931207760344	-0.27041611286335415
15	PYAK	-0.26045630689217675	-0.5135281381329982	1.6764052209430265e-05	-0.2449380964231903
16	KOAK	0.03664854982039143	0.168119890103856	0.18780992606189373	-0.15398237947857235
17	KOTH	0.02507669222546889	0.08240452390113268	0.5349451578437052	-0.23239220540396618
18	PADQ	-0.1443056763754346	-0.38936231367457325	0.0016101856206899513	-0.2796683844326811
19	KVBG	-0.004824984188949938	-0.013051997566026537	0.9253697878181941	-0.37929833540005786
