	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.1548222597415768	-0.5801797135992646	6.240634269247674e-07	0.21587580949552354
1	CYAZ	-0.018630481124434387	-0.06092225735645484	0.6352765554210393	-0.33292281520094097
2	KACV	-0.06371956467752549	-0.24128120042789009	0.039742471596295216	-0.3818128091452341
3	PAHO	-0.13449035778039198	-0.6013600569259444	1.8436482659196723e-08	-0.01962785607510525
4	KLGB	-0.10562665466298321	-0.48934154748192066	1.1165500323231125e-05	-0.24654520492199414
5	KNTD	-0.08506871430369327	-0.2607955267413933	0.025847411410918227	-0.2865195268136814
6	KNZY	-0.05558598311197827	-0.21688307773601054	0.06531868501006383	-0.181936811592313
7	PACD	-0.28336214680149785	-0.6621685705630184	1.0461336961524731e-09	-0.21829014596099472
8	PANT	-0.17835603915832274	-0.5147525762099763	2.1934503271714844e-05	-0.3917893708370222
9	KMRY	-0.07798028997133771	-0.2960897149620695	0.01155879912957863	-0.37568442430387966
10	KLAX	-0.09119231181418815	-0.37313813405107926	0.001148574702233522	-0.3529959952767224
11	KAST	-0.08247181781398678	-0.3251637757509027	0.005001112226449655	-0.3428354961128388
12	KSAN	-0.01289027664269681	-0.055810189735661056	0.6414730007051395	-0.22651141855961396
13	KSFO	-0.047618387218295075	-0.2808457546157664	0.01609355897336719	-0.1307658018802326
14	KSIT	-0.21189443315102488	-0.4902807588704431	4.5258951239252744e-05	0.031067555448315597
15	PYAK	-0.2775066257157046	-0.5839404366897041	5.865754387902075e-08	-0.2015864729960526
16	KOAK	-0.010988382629521126	-0.05851356087366381	0.6229081844250124	-0.03422515812613284
17	KOTH	-0.026095004936717372	-0.10162238381026702	0.4060462317491029	-0.20944422198295348
18	PADQ	-0.22533912167256612	-0.6066487340152243	1.279550213759768e-08	-0.22396553420752724
19	KVBG	-0.02782459206415992	-0.08685343335309169	0.4949707261433137	-0.34748323532472175
